a	art+m.एक@art+f.एक@art+n.एक
ophthalmologists	n+m.pl.नेत्रतज्ञ
ophthalmology	n+n.नेत्रविज्ञान
opiate	n+n.अफूचे औषध@a.अफूचा
opiates	n+m.pl.अफूचे पदार्थ
opined	v.मत व्यक्त केले
opinion	n+n.मत
opinionated	a.हट्टी
opinions	n+n.मते
opioid	n+m.ओपिऑइड@a.ओपिऑइड
opium	n+n.अफू
opp	prep.समोर
oppenheimer	n.ओपेनहायमर
opponent	n+m.प्रतिस्पर्धी@n+m.विरोधक
opponents	n+m.विरोधक@n+m.प्रतिस्पर्धी
opportune	a.योग्य वेळी@a.अनुकूल
opportunistic	a.संधिसाधू
opportunities	n+f.संधी
opportunity	n+f.संधी
oppose	vt.विरोध करणे
opposed	a.विरुद्ध@v.विरोध केला
opposes	vt.विरोध करतो
opposing	a.विरोधी@v.विरोध करणे
opposite	a.विरुद्ध@prep.समोर@n+n.विरुद्धार्थी
opposites	n.विरुद्ध
opposition	n+m.विरोध@n+f.विरोधी पक्ष
oppressed	a.दडपलेला
oppression	n+n.अत्याचार
oppressive	a.जुलमी
oprah	n+f.ओप्रा
ops	n+f.कार्यवाही
opt	v.निवड करणे
opted	vt.निवडले
optic	a.दृष्टिविषयक@a.नेत्रीय
optical	a.दृश्य
optically	ad.दृष्यदृष्ट्या
optician	n+m.चष्म्याचा दुकानदार
opticians	n.चष्मा विक्रेते
optics	n+f.प्रकाशशास्त्र
optima	n.उत्तम
optimal	a.इष्टतम@a.सर्वोत्तम
optimality	n+f.इष्टतमता
optimally	ad.इष्टतमपणे
optimisation	n+f.अनुकूलन
optimise	vt.इष्टतम करणे
optimised	vt.अनुकूलित केलेला
optimising	v.इष्टतम करणे
optimism	n+m.आशावाद
optimist	n+m.आशावादी
optimistic	a.आशावादी
optimization	n+f.ऑप्टिमायझेशन
optimizations	n+n.ऑप्टिमायझेशन
optimize	vt.इष्टतम करणे@vt.ऑप्टिमाइझ करणे
optimized	a.इष्टतम केलेला@v.ऑप्टिमाइझ करणे
optimizer	n+m.ऑप्टिमायझर
optimizers	n+m.pl.ऑप्टिमायझर
optimizes	v.इष्टतम करतो
optimizing	vt.अनुकूलित करणे
optimum	a.इष्टतम@n+n.सर्वोत्तम
opting	v.निवड करत आहे
option	n+m.पर्याय
optional	a.वैकल्पिक
optionally	ad.वैकल्पिकरित्या
options	n+m.पर्याय
optoelectronic	a.प्रकाशइलेक्ट्रॉनिक
optometrist	n+m.चष्मा तज्ञ
optometrists	n.चष्मा तज्ञ
optometry	n+f.दृष्टीमापन
opts	vi.निवड करतो
opulent	a.श्रीमंत@a.भरभराटीचा
opus	n+n.कलाकृती
or	conj.किंवा
ora	n+f.ओरा
oracle	n+m.ऑरॅकल
oracles	n+m.भविष्यवाणी@n+f.देववाणी
oral	a.तोंडी
orally	ad.तोंडी
oran	n+m.ओरान
orang	n+m.ओरंग
orange	n+f.संत्री@a.नारंगी
orangemen	n+m.ऑरेंजमन
oranges	n+f.संत्री
orator	n+m.वक्ता
oratory	n+f.वक्तृत्वकला@n+n.प्रार्थनागृह
orb	n+m.गोल
orbison	n.ऑर्बिसन
orbit	n+f.कक्षा@vi.प्रदक्षिणा घालणे
orbital	a.कक्षीय
orbitals	n+m.pl.कक्षा
orbiter	n+m.कक्षायान
orbiting	v.प्रदक्षिणा घालत आहे@a.कक्षेतील
orbits	n.कक्षा@vt.प्रदक्षिणा घालणे
orbs	n+m.pl.गोळे@n+f.pl.डोळे
orc	n+m.ऑर्क
orca	n+m.ऑर्का
orcas	n+f.pl.किलर व्हेल
orch	n.ऑर्केस्ट्रा
orchard	n+f.फळबाग
orchards	n.फळबागा
orchestra	n+m.ऑर्केस्ट्रा@n+f.वाद्यवृंद
orchestral	a.वाद्यवृंदाचा
orchestras	n.वाद्यवृंद
orchestrated	v.आयोजित केले@a.आयोजित
orchestration	n+f.वाद्यवृंद संयोजन
orchid	n+f.ऑर्किड फूल
orchids	n+f.ऑर्किड
orcs	n.ऑर्क
ord	n+m.ऑर्ड
ordained	a.नियुक्त
ordeal	n+f.कठीण परीक्षा
order	n+f.ऑर्डर@n+m.क्रम@vt.मागवणे
ordered	v.मागवले
ordering	n+f.मागणी@v.मागवत
orderly	a.व्यवस्थित@n+m.परिचर
orders	n+f.ऑर्डर
ordinal	a.क्रमवाचक@n+m.क्रमांक
ordinance	n+f.अध्यादेश@n+m.कायदा
ordinances	n+f.अध्यादेश
ordinarily	ad.सामान्यतः
ordinary	a.सामान्य@a.साधा
ordinate	n+f.कोटी
ordinates	n.कोटी
ordination	n+f.दीक्षा
ordnance	n+m.शस्त्रास्त्रे
ore	n+n.धातुक
oregano	n+m.ओरेगॅनो
oregon	n+m.ओरेगॉन
oregonian	n+m.ओरेगॉनी@a.ओरेगॉन संबंधी
oren	n.ओरेन
oreo	n+m.ओरिओ
ores	n.धातुके
org	n+f.संस्था
organ	n+m.अवयव@n+n.वाद्य
organic	a.सेंद्रिय
organically	ad.सेंद्रियपणे
organics	n+m.सेंद्रिय
organisation	n+f.संस्था
organisational	a.संघटनात्मक
organisations	n+f.संस्था
organise	vt.आयोजित करणे
organised	a.संघटित@v.आयोजित केले
organiser	n+m.आयोजक
organisers	n+m.आयोजक
organises	v.आयोजित करतो
organising	vt.आयोजित करणे
organism	n+m.जीव@n+n.सजीव
organisms	n+m.जीव@n+n.सजीव
organist	n+m.ऑर्गनवादक
organization	n+f.संस्था
organizational	a.संस्थात्मक@a.संघटनात्मक
organizations	n+f.संस्था
organize	v.आयोजित करणे@v.संघटित करणे
organized	a.संघटित@v.आयोजित केले
organizer	n+m.आयोजक@n+f.डायरी
organizers	n+m.आयोजक
organizes	vt.आयोजित करणे
organizing	v.आयोजन करणे@a.आयोजन करणारा
organs	n+m.अवयव@n+n.इंद्रिय
organza	n+f.ऑर्गेंझा
orgasm	n+m.परमानंद@n+n.शृंगारोत्कर्ष
orgasmic	a.परमोच्च आनंददायक
orgasms	n+m.ऑर्गेझम
orgies	n+f.सामूहिक संभोग
orgy	n+f.धुंद मेजवानी@n+m.समूह संभोग
orient	n+m.पूर्व@vt.अभिमुख करणे
oriental	a.पौर्वात्य@a.आशियाई
orientated	a.अभिमुख@v.अभिमुख केले
orientation	n+f.अभिमुखता@n+n.दिशादर्शन
orientations	n.अभिमुखता
oriente	n+m.ओरिएंट
oriented	a.केंद्रित
orienteering	n+n.दिशादर्शन शर्यत
orifice	n+n.छिद्र
orig	a.मूळ
origami	n+f.कागद घडी कला
origen	n+m.ओरिजेन
origin	n+f.उत्पत्ती
original	a.मूळ
originality	n+f.मौलिकता
originally	ad.मूळतः
originals	n+m.मूळ
originate	vi.उत्पन्न होणे
originated	vi.उगम पावला
originates	vi.उगम होणे
originating	vt.उगम पावणे
origination	n+f.उगम
originator	n+m.निर्माता
originators	n+m.pl.निर्माते
origins	n+f.उत्पत्ती@n+m.मूळ
orinoco	n.ओरिनोको
oriole	n+m.ओरिओल पक्षी
orioles	n+m.ओरिओल्स
orion	n+m.ओरायन तारकासमूह
orissa	n.ओरिसा
oriya	n+m.ओरिया भाषा@a.ओडिया
orkney	n.ऑर्कनी
orlando	n+m.ऑर्लांडो
orleans	n+m.ऑर्लीन्स
orly	n+m.ऑर्ली
ornament	n+m.अलंकार
ornamental	a.सजावटीचा
ornamentation	n+f.सजावट
ornaments	n+m.दागिने@n+f.अलंकार
ornate	a.अलंकृत
ornithine	n+m.ऑर्निथिन
ornithology	n+f.पक्षीविज्ञान
orphan	n+m.अनाथ
orphanage	n+n.अनाथाश्रम
orphaned	a.अनाथ@v.अनाथ केले
orphans	n+m.अनाथ
orpheus	n.ऑर्फियस
orr	n.ऑर
orrin	n.ऑरिन
orson	n.ऑर्सन
ort	n.ऑर्ट
ortega	n.ऑर्टेगा
orth	n+m.ऑर्थ
orthodontic	a.दंतधारण संबंधी
orthodontics	n+f.दंतधारणशास्त्र
orthodontist	n+m.दंतचिकित्सक
orthodox	a.पारंपरिक@a.रूढीवादी
orthodoxy	n+f.परंपरावाद
orthogonal	a.लंबवत
orthopaedic	a.अस्थिविषयक
orthopaedics	n+f.अस्थिरोगशास्त्र
orthotic	a.ऑर्थोटिक@n+m.आधार उपकरण
orthotics	n+f.ऑर्थोटिक्स
ortiz	n.ऑर्टिझ
orville	n.ऑर्व्हिल
orwell	n.ऑर्वेल
oryx	n+m.ओरिक्स हरण
osage	n.ओसेज
osaka	n+m.ओसाका
osborn	n.ऑसबॉर्न
osborne	n+m.ऑसबोर्न
oscar	n+m.ऑस्कर
oscars	n.ऑस्कर
osceola	n.ओसिओला
oscillating	v.दोलन करत आहे@a.दोलनशील
oscillation	n+f.दोलन
oscillations	n.दोलने
oscillator	n+m.ऑसिलेटर
oscillators	n.दोलक
oscillatory	a.दोलायमान
oscilloscope	n+m.ऑसिलोस्कोप
oscilloscopes	n+m.ऑसिलोस्कोप
oses	n+f.हाडे
osgood	n+m.ओसगुड
oshawa	n.ओशावा
oshkosh	n.ऑशकॉश
osiris	n.ओसायरिस
oslo	n+n.ऑस्लो
osman	n.उस्मान
osmosis	n+f.परासरण
osmotic	a.परासरणी
osprey	n+m.ऑस्प्रे
ospreys	n+m.ऑस्प्रे पक्षी
ostensibly	ad.वरवर पाहता
osteoarthritis	n+m.अस्थिसंधिवात
osteopathic	a.ऑस्टिओपॅथिक
osteopaths	n+m.ऑस्टिओपॅथ
osteopathy	n+f.अस्थिचिकित्सा
osteoporosis	n+m.ऑस्टिओपोरोसिस
ostomy	n+f.ऑस्टोमी
ostrich	n+m.शुतुरमुर्ग
oswald	n.ऑस्वाल्ड
othello	n.ओथेलो
other	a+m.इतर@a+f.इतर@a+n.इतर@pron.दुसरा
others	pron.इतर
otherwise	ad.अन्यथा
otis	n.ओटिस
otitis	n+f.कानाचा दाह
otolaryngology	n+f.कान नाक घसा शास्त्र
ottawa	n+n.ओटावा
otter	n+m.ऊदबिलाव
otters	n.ऊद
otto	n+m.ओटो
ottoman	n+m.ऑटोमन@a.ऑटोमन
ottomans	n+m+pl.ऑटोमन
ouachita	n+f.वाचिटा
ouch	int.आई गं
oud	n+m.ऊद@n+n.अरबी वाद्य
ought	v.पाहिजे@v.असावे
ouguiya	n+f.ओगिया
oui	int.हो
oulu	n.ओउलू
ounce	n+m.औंस
ounces	n+m.औंस
our	pron+m.आमचा@pron+f.आमची@pron+n.आमचे
ours	pron.आमचे@pron.आपले
ourselves	pron.आम्ही स्वतः@pron.आपण स्वतः
ouse	n+f.ओउस नदी
oust	v.बाहेर काढणे@v.पदच्युत करणे
ousted	v.हाकलले@a.हाकललेला
out	ad.बाहेर@prep.बाहेर
outage	n+m.वीजपुरवठा खंडित
outages	n.खंडित सेवा
outback	n+m.आउटबॅक
outboard	a.बाहेरचा
outboards	n+m+pl.आउटबोर्ड
outbound	a.बाहेर जाणारा
outbox	n+m.आउटबॉक्स
outbreak	n+m.उद्रेक
outbreaks	n+m.उद्रेक
outbuildings	n+f.बाहेरच्या इमारती
outburst	n+m.उद्रेक
outbursts	n+m.उद्रेक
outcast	n+m.बहिष्कृत@a.बहिष्कृत
outcasts	n+m.बहिष्कृत
