the	art+m.o@art+f.a
unaffected	a+m.não afetado@a+f.não afetada
starving	a+m.faminto@a+f.faminta@v.morrendo de fome
vide	v.vide@v.veja
cleanser	n+m.limpador@n+m.produto de limpeza
hearty	a+m.caloroso@a+f.calorosa@a+m.substancioso@a+f.substanciosa
triton	n.Tritão
deus	n+m.deus
velocities	n+f.velocidades
renewals	n+f.renovações
adore	v.adorar
entertainer	n+m.artista@n+m.animador
colds	n+m.resfriados
dependant	n+m.dependente@a+m.dependente@a+f.dependente
thicker	a+m.mais grosso@a+f.mais grossa
weeping	v.chorando@n+m.choro
salford	n.Salford
ephedrine	n+f.efedrina
closeup	n+m.close-up@n+m.primeiro plano
venous	a+m.venoso@a+f.venosa
hereunder	ad.abaixo
chandeliers	n+m.lustres
moneys	n+m.dinheiros@n+f.quantias
ouch	int.ai
infancy	n+f.infância
teflon	n+m.teflon
cleans	v.limpa
dips	n+m.mergulhos@n+m.molhos@v.mergulha
honoured	a+m.honrado@a+f.honrada@v.honrou
yachting	n+m.iatismo
cleanse	v.limpar@v.purificar
chilly	a+m.frio@a+f.fria
rosters	n+f.escalas@n+m.elencos
herbicide	n+m.herbicida
digs	v.cava@n+f.escavações
bolivar	n.Bolívar
marlene	n.Marlene
womb	n+m.útero
irritating	a+m.irritante@a+f.irritante@v.irritando
monarchy	n+f.monarquia
cheddar	n+m.cheddar
corset	n+m.espartilho
hinged	a+m.articulado@a+f.articulada@a+m.com dobradiças@a+f.com dobradiças
regex	n+f.expressão regular
chs	n+m.cilindros cabeças setores
mcclellan	n.McClellan
attendants	n+m.atendentes
gopher	n+m.esquilo terrestre
distal	a+m.distal@a+f.distal
robins	n+m.pintarroxos@n.Robins
booming	a+m.florescente@a+f.florescente@v.crescendo
joss	n.Joss
shortfall	n+m.déficit
scandals	n+m.escândalos
screamed	v.gritou
harmonica	n+f.harmônica@n+f.gaita
cramps	n+f.cãibras
enid	n.Enid
geothermal	a+m.geotérmico@a+f.geotérmica
atlases	n+m.atlas
kohl	n.Kohl@n+m.kohl
herrera	n.Herrera
digger	n+m.escavador@n+f.escavadeira
hosp	n+m.hospital
lewiston	n.Lewiston
stowe	n.Stowe
fluke	n+m.acaso@n+f.barbatana
estes	n.Estes
espionage	n+f.espionagem
pups	n+m.filhotes
avenged	v.vingou@a+m.vingado@a+f.vingada
caches	n+m.caches@n+m.esconderijos
stomp	v.pisar forte@n+m.pisão
glade	n+f.clareira
acidic	a+m.ácido@a+f.ácida
pendulum	n+m.pêndulo
gangster	n+m.gângster
bounces	v.quica@n+m.saltos
censored	a+m.censurado@a+f.censurada@v.censurou
fascist	n+m.fascista@a+m.fascista@a+f.fascista
nehemiah	n.Neemias
lido	n+m.lido@n.Lido
matchbox	n+f.caixa de fósforos
thinner	a+m.mais fino@a+f.mais fina@n+m.solvente
licks	v.lambe@n+f.lambidas
soto	n.Soto
caste	n+f.casta
businessmen	n+m.empresários@n+m.homens de negócios
jus	n+m.jus@n+m.direito
daft	a+m.bobo@a+f.boba@a+m.tolo@a+f.tola
sampson	n.Sampson
incubator	n+f.incubadora
experiential	a+m.experiencial@a+f.experiencial
psyche	n+f.psique
eraser	n+f.borracha@n+m.apagador
rudolf	n.Rudolf
angling	n+f.pesca com vara
jordanian	a+m.jordaniano@a+f.jordaniana@n+m.jordaniano
libra	n.Libra@n+f.libra
stubborn	a+m.teimoso@a+f.teimosa
diplomats	n+m.diplomatas
physicist	n+m.físico@n+f.física
tagalog	n+m.tagalo
coo	v.arrulhar@n+m.arrulho
requiem	n+m.réquiem
nonprofits	n+f.organizações sem fins lucrativos
redeemed	a+m.redimido@a+f.redimida@v.redimiu
sighed	v.suspirou
lures	n+f.iscas@v.atrai
ethylene	n+m.etileno
slows	v.desacelera
inhibits	v.inibe
bavaria	n.Baviera
devastation	n+f.devastação
exploratory	a+m.exploratório@a+f.exploratória
spectrometer	n+m.espectrômetro
heroine	n+f.heroína
bingham	n.Bingham
achilles	n.Aquiles
outsole	n+f.sola externa
flaps	n+f.abas@v.bate
inset	n+m.encarte@a+m.embutido@a+f.embutida
indifferent	a+m.indiferente@a+f.indiferente
polynomials	n+m.polinômios
cadence	n+f.cadência
frosted	a+m.glacê@a+f.glacê@a+m.fosco@a+f.fosca
schubert	n.Schubert
rhine	n.Reno
manifested	v.manifestou@a+m.manifestado@a+f.manifestada
denominations	n+f.denominações
interrupts	v.interrompe@n+f.interrupções
openers	n+m.abridores
rattle	n+m.chocalho@v.chacoalhar
shasta	n.Shasta
dob	n+f.data de nascimento
insults	n+m.insultos@v.insulta
oatmeal	n+f.aveia
marta	n.Marta
distilled	a+m.destilado@a+f.destilada@v.destilou
stricken	a+m.atingido@a+f.atingida@a+m.afligido@a+f.afligida
sidekick	n+m.companheiro@n+f.companheira
rewriting	v.reescrevendo@n+f.reescrita
bahama	n.Bahama
unrest	n+f.inquietação@n+m.distúrbio
loretta	n.Loretta
cascades	n+f.cascatas@v.cascateia
druid	n+m.druida
dunbar	n.Dunbar
outsider	n+m.forasteiro@n+f.forasteira
abstinence	n+f.abstinência
allocating	v.alocando
newell	n.Newell
juveniles	n+m.juvenis@n+m.menores
nag	v.importunar@n+m.pangaré
poodle	n+m.poodle
sitter	n+f.babá@n+m.modelo
colder	a+m.mais frio@a+f.mais fria
tasmanian	a+m.tasmaniano@a+f.tasmaniana
hydrocarbon	n+m.hidrocarboneto
lobbyist	n+m.lobista
kelvin	n.Kelvin@n+m.kelvin
whispers	n+m.sussurros@v.sussurra
secondhand	a+m.de segunda mão@a+f.de segunda mão
swarm	n+m.enxame@v.aglomerar
elise	n.Elise
clientele	n+f.clientela
ledge	n+f.saliência@n+m.parapeito
winthrop	n.Winthrop
peasants	n+m.camponeses
nectar	n+m.néctar
hts	n+m.sistema harmonizado
anecdotes	n+f.anedotas
hort	n+f.horticultura
bureaucratic	a+m.burocrático@a+f.burocrática
gilt	a+m.dourado@a+f.dourada@n+m.dourado
masterpieces	n+f.obras-primas
cooperatives	n+f.cooperativas
raceway	n+f.pista de corrida
sopranos	n+m.sopranos
symbolism	n+m.simbolismo
monsoon	n+f.monção
hotties	n+m.gatos@n+f.gatas
terrell	n.Terrell
closings	n+m.fechamentos
registrars	n+m.registradores
drown	v.afogar
strife	n+f.conflito@n+f.discórdia
esprit	n+m.espírito
faye	n.Faye
attaining	v.atingindo
consular	a+m.consular@a+f.consular
treason	n+f.traição@n+f.alta traição
reckon	v.calcular@v.supor
prosper	v.prosperar
napier	n.Napier
methamphetamine	n+f.metanfetamina
supremacy	n+f.supremacia
murals	n+m.murais
capillary	a+m.capilar@a+f.capilar@n+m.capilar
islington	n.Islington
bangs	n+f.franja@v.bate
knockout	n+m.nocaute@a+m.espetacular@a+f.espetacular
radon	n+m.radônio
anchored	a+m.ancorado@a+f.ancorada@v.ancorou
yong	n.Yong
mulberry	n+f.amoreira@n+f.amora
sinful	a+m.pecaminoso@a+f.pecaminosa
cheeses	n+m.queijos
obi	n+m.obi
bradshaw	n.Bradshaw
timelines	n+f.linhas do tempo
mythical	a+m.mítico@a+f.mítica
abyss	n+m.abismo
roget	n.Roget
cristina	n.Cristina
whitehall	n.Whitehall
malachi	n.Malaquias
autoimmune	a+m.autoimune@a+f.autoimune
coder	n+m.programador@n+f.programadora
replicated	a+m.replicado@a+f.replicada@v.replicou
pom	n+m.pom
timetables	n+m.horários
kline	n.Kline
anorexia	n+f.anorexia
clipping	n+m.recorte@v.cortando
workplaces	n+m.locais de trabalho
niece	n+f.sobrinha
irresponsible	a+m.irresponsável@a+f.irresponsável
pleas	n+m.apelos@n+f.petições
softer	a+m.mais macio@a+f.mais macia
paralysis	n+f.paralisia
heartburn	n+f.azia
devastated	a+m.devastado@a+f.devastada@v.devastou
empathy	n+f.empatia
tarzan	n.Tarzan
motivating	v.motivando@a+m.motivador@a+f.motivadora
clockwise	ad.no sentido horário@a+m.horário@a+f.horária
shutters	n+f.venezianas@n+m.obturadores
flask	n+m.frasco@n+f.garrafa térmica
arisen	v.surgido
relentless	a+m.implacável@a+f.implacável
ribbed	a+m.canelado@a+f.canelada
omnibus	n+m.ônibus@n+f.coletânea
stables	n+m.estábulos
frisco	n.Frisco
inhabited	a+m.habitado@a+f.habitada@v.habitou
hereof	ad.deste
untold	a+m.incontável@a+f.incontável@a+m.não contado@a+f.não contada
observable	a+m.observável@a+f.observável
mitzvah	n+f.mitzvá
gretchen	n.Gretchen
lanterns	n+f.lanternas
tulips	n+f.tulipas
bashing	v.batendo@n+f.crítica severa
boosters	n+m.impulsionadores@n+m.reforços
cyl	n+m.cilindro
vigorously	ad.vigorosamente
interfering	v.interferindo
idols	n+m.ídolos
designating	v.designando
mikhail	n.Mikhail
denominator	n+m.denominador
nugget	n+f.pepita@n+m.nugget
reminding	v.lembrando
gusts	n+f.rajadas
xviii	n+m.XVIII
islamabad	n.Islamabad
magistrates	n+m.magistrados
freestanding	a+m.independente@a+f.independente@a+m.autônomo@a+f.autônoma
resilient	a+m.resiliente@a+f.resiliente
procession	n+f.procissão
eyewitness	n+f.testemunha ocular
spiritually	ad.espiritualmente
hippo	n+m.hipopótamo
tenancy	n+f.locação@n+m.arrendamento
attentive	a+m.atencioso@a+f.atenciosa
rupture	n+f.ruptura@v.romper
trad	a+m.tradicional@a+f.tradicional
assimilation	n+f.assimilação
lyrical	a+m.lírico@a+f.lírica
offsite	a+m.externo@a+f.externa@ad.fora do local
clements	n.Clements
concorde	n.Concorde
angelica	n.Angélica@n+f.angélica
braided	a+m.trançado@a+f.trançada
ticketing	n+f.emissão de bilhetes
heterogeneity	n+f.heterogeneidade
wooded	a+m.arborizado@a+f.arborizada
bodied	a+m.corporificado@a+f.corporificada
intensely	ad.intensamente
dudes	n+m.caras
maytag	n.Maytag
altos	n+m.altos@n+m.contraltos
sleeved	a+m.com mangas@a+f.com mangas
overs	n+m.overs
watercraft	n+f.embarcação
propelled	v.propeliu@a+m.propelido@a+f.propelida
artisans	n+m.artesãos
bastards	n+m.bastardos
aspiration	n+f.aspiração
appended	v.anexou@a+m.anexado@a+f.anexada
cellulose	n+f.celulose
cathode	n+m.cátodo
monographs	n+f.monografias
slammed	v.bateu@a+m.batido@a+f.batida
aviator	n+m.aviador@n+f.aviadora
implicated	v.implicou@a+m.implicado@a+f.implicada
seriousness	n+f.seriedade
conformation	n+f.conformação
intimidation	n+f.intimidação
paladin	n+m.paladino
nests	n+m.ninhos@v.aninha
civilized	a+m.civilizado@a+f.civilizada
marched	v.marchou
digitized	a+m.digitalizado@a+f.digitalizada@v.digitalizou
rotated	v.girou@a+m.rotacionado@a+f.rotacionada
gaia	n.Gaia
motown	n.Motown
cassandra	n.Cassandra
pryor	n.Pryor
cath	n.Cath@n+m.cateter
greeley	n.Greeley
sighted	v.avistou@a+m.avistado@a+f.avistada
hopping	v.pulando@a+m.saltitante@a+f.saltitante
ramos	n.Ramos@n+m.ramos
citibank	n.Citibank
rosary	n+m.rosário
platoon	n+m.pelotão
taxa	n+m.táxons
brunettes	n+f.morenas
bic	n.Bic
andres	n.Andrés
loneliness	n+f.solidão
pulley	n+f.polia
alleging	v.alegando
unhelpful	a+m.inútil@a+f.inútil@a+m.pouco prestativo@a+f.pouco prestativa
synonymous	a+m.sinônimo@a+f.sinônima
confectionery	n+f.confeitaria
regrets	n+m.arrependimentos@v.lamenta
consciously	ad.conscientemente
microorganisms	n+m.microrganismos
twister	n+m.tornado@n+m.twister
footprints	n+f.pegadas
krakow	n.Cracóvia
sequoia	n+f.sequoia
activator	n+m.ativador
priscilla	n.Priscila
familial	a+m.familiar@a+f.familiar
stimulates	v.estimula
marquee	n+m.letreiro@n+f.tenda
darkest	a+m.mais escuro@a+f.mais escura
implying	v.implicando
conducive	a+m.propício@a+f.propícia
resilience	n+f.resiliência
thermodynamics	n+f.termodinâmica
uncontrolled	a+m.descontrolado@a+f.descontrolada
ballads	n+f.baladas
seton	n.Seton
subgroups	n+m.subgrupos
catchy	a+m.cativante@a+f.cativante
mathew	n.Mathew
synaptic	a+m.sináptico@a+f.sináptica
hugely	ad.enormemente
bobcats	n+m.linces
zappa	n.Zappa
hostages	n+m.reféns
swahili	n+m.suaíli
rosario	n.Rosário
enrolling	v.matriculando
fruitful	a+m.frutífero@a+f.frutífera
franks	n.Franks@n+m.francos
commercialization	n+f.comercialização
indemnify	v.indenizar
satisfactorily	ad.satisfatoriamente
thinker	n+m.pensador@n+f.pensadora
contestants	n+m.concorrentes@n+m.participantes
snowboards	n+m.snowboards
influx	n+m.influxo@n+m.afluxo
convoy	n+m.comboio
tesla	n.Tesla@n+m.tesla
sled	n+m.trenó
elan	n+m.elan@n+m.entusiasmo
pyramids	n+f.pirâmides
ingrid	n.Ingrid
depended	v.dependeu
unleaded	a+m.sem chumbo@a+f.sem chumbo
conveyance	n+f.transporte@n+f.transferência
mesquite	n+f.algaroba
kroner	n+f.coroas
tortoise	n+f.tartaruga
milo	n.Milo
cultivate	v.cultivar
denali	n.Denali
inhibitory	a+m.inibitório@a+f.inibitória
phonics	n+f.fonética
refs	n+m.árbitros@n+f.referências
dialogues	n+m.diálogos
meningitis	n+f.meningite
motivations	n+f.motivações
asteroid	n+m.asteroide
donegal	n.Donegal
abolition	n+f.abolição
coax	v.persuadir@n+m.coaxial
padre	n+m.padre
endings	n+m.finais@n+f.terminações
lees	n+f.borras@n.Lees
unlisted	a+m.não listado@a+f.não listada
philippians	n.Filipenses
conductive	a+m.condutivo@a+f.condutiva
mari	n.Mari
foresight	n+f.previsão@n+f.visão de futuro
microscopes	n+m.microscópios
kenmore	n.Kenmore
peppermint	n+f.hortelã-pimenta
reagent	n+m.reagente
tod	n.Tod
castillo	n.Castillo
achievable	a+m.alcançável@a+f.alcançável
remnants	n+m.remanescentes@n+m.restos
glamorous	a+m.glamoroso@a+f.glamorosa
interacts	v.interage
nailed	v.pregou@a+m.pregado@a+f.pregada
alum	n+m.alúmen@n+m.ex-aluno
chomsky	n.Chomsky
frantic	a+m.frenético@a+f.frenética
zachary	n.Zachary
venezia	n.Veneza
comrades	n+m.camaradas
cocoon	n+m.casulo
interleukin	n+f.interleucina
flashcards	n+m.cartões de memória
doth	v.faz
gladys	n.Gladys
interception	n+f.interceptação
voltages	n+f.tensões
assignee	n+m.cessionário@n+f.cessionária
kip	n+m.cochilo@v.dormir
bowers	n.Bowers@n+m.caramanchões
strengthens	v.fortalece
dictatorship	n+f.ditadura
valance	n+f.sanefa
breezy	a+m.ventilado@a+f.ventilada@a+m.despreocupado@a+f.despreocupada
pisces	n.Peixes
orc	n+m.orc
hemingway	n.Hemingway
mundane	a+m.mundano@a+f.mundana
rendition	n+f.interpretação@n+f.versão
douglass	n.Douglass
barclay	n.Barclay
hui	n.Hui
matador	n+m.matador
smut	n+f.obscenidade@n+m.fuligem
dang	int.droga
foes	n+m.inimigos
meetups	n+m.encontros
bilbao	n.Bilbao
cloths	n+m.panos@n+m.tecidos
deletes	v.exclui@v.apaga
clowns	n+m.palhaços
adjudication	n+f.adjudicação
lombard	n.Lombard@a+m.lombardo@a+f.lombarda
barren	a+m.estéril@a+f.estéril@a+m.árido@a+f.árida
rasmussen	n.Rasmussen
plead	v.alegar@v.suplicar
bibliographies	n+f.bibliografias
milne	n.Milne
behaved	v.comportou@a+m.comportado@a+f.comportada
embargo	n+m.embargo
condensation	n+f.condensação
yokohama	n.Yokohama
unplugged	a+m.desconectado@a+f.desconectada@a+m.acústico@a+f.acústica
vow	n+m.voto@n+f.promessa@v.jurar
torvalds	n.Torvalds
claudio	n.Cláudio
blot	n+f.mancha@v.manchar
commentator	n+m.comentarista
tailgate	n+f.porta traseira@v.fazer churrasco
patterned	a+m.estampado@a+f.estampada
sheen	n+m.brilho@n.Sheen
hollis	n.Hollis
imam	n+m.imã
overseeing	v.supervisionando
escalation	n+f.escalada
assent	n+m.consentimento@v.consentir
hove	v.içou@n.Hove
shading	n+m.sombreamento@v.sombreando
polymorphism	n+m.polimorfismo
semitism	n+m.semitismo
sevenfold	a+m.sétuplo@a+f.sétupla@ad.sete vezes
scrubbed	a+m.esfregado@a+f.esfregada@v.esfregou
warts	n+f.verrugas
epidemiological	a+m.epidemiológico@a+f.epidemiológica
medic	n+m.médico@n+f.médica
roundabout	n+f.rotatória@a+m.indireto@a+f.indireta
harmed	v.prejudicou@a+m.prejudicado@a+f.prejudicada
paternity	n+f.paternidade
conceal	v.ocultar
grail	n+m.graal
starvation	n+f.fome@n+f.inanição
horne	n.Horne
nostalgic	a+m.nostálgico@a+f.nostálgica
appointing	v.nomeando
tabled	v.apresentou@a+m.tabulado@a+f.tabulada
farsi	n+m.farsi@n+m.persa
excelsior	n+m.excélsior@int.excelsior
seine	n.Sena@n+f.rede de arrasto
rial	n+m.rial
flowed	v.fluiu
greenspan	n.Greenspan
sewn	a+m.costurado@a+f.costurada
andrei	n.Andrei
frazier	n.Frazier
zulu	n+m.zulu@a+m.zulu@a+f.zulu
criminology	n+f.criminologia
barnet	n.Barnet
jeanette	n.Jeanette
rift	n+f.fenda@n+f.ruptura
saviour	n+m.salvador
lapel	n+f.lapela
dup	v.duplicar
hangover	n+f.ressaca
capitalize	v.capitalizar
turk	n+m.turco@n+f.turca
motocross	n+m.motocross
boomers	n+m.baby boomers
wedgwood	n.Wedgwood
cupboard	n+m.armário
archipelago	n+m.arquipélago
peep	v.espiar@n+f.espiada
deceptive	a+m.enganoso@a+f.enganosa
undertakings	n+m.empreendimentos
pecan	n+f.noz-pecã
tinted	a+m.tingido@a+f.tingida@a+m.fumê@a+f.fumê
congratulate	v.parabenizar
benzene	n+m.benzeno
topper	n+m.cartola@n+m.líder
constance	n.Constance
arse	n+m.cu@n+f.bunda
osteoarthritis	n+f.osteoartrite
czechoslovakia	n.Tchecoslováquia
vanishing	v.desaparecendo@a+m.desaparecendo@a+f.desaparecendo
addictions	n+f.dependências@n+m.vícios
legislator	n+m.legislador@n+f.legisladora
taxonomic	a+m.taxonômico@a+f.taxonômica
judo	n+m.judô
notifying	v.notificando
aches	n+f.dores@v.dói
palmetto	n+f.palmeira anã
kitchener	n.Kitchener
leaked	v.vazou@a+m.vazado@a+f.vazada
genera	n+m.gêneros
sparked	v.desencadeou@a+m.desencadeado@a+f.desencadeada
idioms	n+m.idiomas@n+f.expressões idiomáticas
gardiner	n.Gardiner
whitaker	n.Whitaker
poisonous	a+m.venenoso@a+f.venenosa
chime	n+m.carrilhão@v.badalar
spence	n.Spence
conner	n.Conner
hospitalized	a+m.hospitalizado@a+f.hospitalizada@v.hospitalizou
mischief	n+f.travessura
fec	n.FEC
argent	n+m.prata@a+m.prateado@a+f.prateada
delinquency	n+f.delinquência
cana	n.Caná
entitlements	n+m.direitos@n+m.benefícios
sentimental	a+m.sentimental@a+f.sentimental
unsuitable	a+m.inadequado@a+f.inadequada
mildly	ad.levemente
soybeans	n+f.sojas
forging	v.forjando@n+f.forja
pew	n+m.banco de igreja
electrostatic	a+m.eletrostático@a+f.eletrostática
topological	a+m.topológico@a+f.topológica
waitress	n+f.garçonete
coz	conj.porque
oversize	a+m.grande demais@a+f.grande demais
westinghouse	n.Westinghouse
caribou	n+m.caribu
rios	n.Rios
expansive	a+m.expansivo@a+f.expansiva
footing	n+m.base@n+m.apoio
craftsmanship	n+f.arte@n+f.maestria
pyle	n.Pyle
seuss	n.Seuss
sligo	n.Sligo
cheetah	n+f.chita@n+m.guepardo
remit	v.remeter@n+m.âmbito
bonnet	n+m.capô@n+f.touca
competed	v.competiu
stumble	v.tropeçar@n+m.tropeço
fridges	n+f.geladeiras
undertook	v.empreendeu
hatchery	n+m.criadouro
judgements	n+m.julgamentos
promenade	n+m.passeio@n+f.promenade
exhaustion	n+f.exaustão
unborn	a+m.não nascido@a+f.não nascida
wendell	n.Wendell
hammers	n+m.martelos@v.martela
fingerprints	n+f.impressões digitais
coasts	n+f.costas
cheesy	a+m.brega@a+f.brega@a+m.piegas@a+f.piegas
emitting	v.emitindo
concur	v.concordar
exert	v.exercer
madeline	n.Madeline
sanskrit	n+m.sânscrito
winfield	n.Winfield
pinto	n+m.malhado@n.Pinto
worldly	a+m.mundano@a+f.mundana
wedges	n+f.cunhas
corded	a+m.com fio@a+f.com fio
heirloom	n+f.herança@n+m.objeto de família
pleasantly	ad.agradavelmente
jana	n.Jana
portray	v.retratar
esoteric	a+m.esotérico@a+f.esotérica
luxe	n+m.luxo
messengers	n+m.mensageiros
mays	n.Mays@n+m.maios
oboe	n+m.oboé
landings	n+f.aterrissagens@n+m.desembarques
graphically	ad.graficamente
shameless	a+m.descarado@a+f.descarada
communicates	v.comunica
bourgeois	a+m.burguês@a+f.burguesa@n+m.burguês
napkins	n+m.guardanapos
expressway	n+f.via expressa
unloading	v.descarregando@n+m.descarregamento
steelhead	n+f.truta arco-íris
bakers	n+m.padeiros
selma	n.Selma
pears	n+f.peras
heats	n+m.calores@v.aquece
lucid	a+m.lúcido@a+f.lúcida
turntables	n+f.vitrolas@n+m.toca-discos
lobe	n+m.lobo
facilitators	n+m.facilitadores
mcnamara	n.McNamara
shiva	n.Shiva
canaan	n.Canaã
toners	n+m.toners
kenyan	a+m.queniano@a+f.queniana@n+m.queniano
wynn	n.Wynn
oppressed	a+m.oprimido@a+f.oprimida@v.oprimiu
infer	v.inferir
prosecute	v.processar
motorbike	n+f.moto
niles	n.Niles
thatcher	n.Thatcher
sergei	n.Sergei
bret	n.Bret
upfront	a+m.franco@a+f.franca@ad.antecipadamente
hauling	v.transportando@n+m.transporte
inconsistencies	n+f.inconsistências
battlefront	n+f.frente de batalha
gosh	int.puxa
indebtedness	n+f.endividamento
scramble	v.embaralhar@n+f.correria
adversary	n+m.adversário@n+f.adversária
colossians	n.Colossenses
elsa	n.Elsa
quaint	a+m.pitoresco@a+f.pitoresca
addicting	a+m.viciante@a+f.viciante
oswald	n.Oswald
dipping	v.mergulhando@n+m.molho
revere	v.reverenciar@n.Revere
troopers	n+m.soldados
mccullough	n.McCullough
domaine	n+m.domínio
guerra	n.Guerra
solemn	a+m.solene@a+f.solene
microfiber	n+f.microfibra
eruption	n+f.erupção
celeste	n.Celeste@a+m.celeste@a+f.celeste
deployments	n+f.implantações
gentry	n+f.pequena nobreza
insurgency	n+f.insurgência
boyer	n.Boyer
perceptual	a+m.perceptual@a+f.perceptual
enchanting	a+m.encantador@a+f.encantadora
preached	v.pregou
midlothian	n.Midlothian
mica	n+f.mica
instr	n+f.instrução
cadets	n+m.cadetes
lads	n+m.rapazes
rambler	n+m.andarilho@n+f.andarilha
drywall	n+m.drywall@n+f.parede de gesso
endured	v.suportou@a+m.suportado@a+f.suportada
fermentation	n+f.fermentação
suzy	n.Suzy
sumo	n+m.sumô
careless	a+m.descuidado@a+f.descuidada
chemists	n+m.químicos
inca	n+m.inca@a+m.inca@a+f.inca
fad	n+f.moda passageira
julien	n.Julien
dandy	n+m.dândi@a+m.excelente@a+f.excelente
refurbishment	n+f.reforma@n+f.renovação
grassland	n+f.pastagem@n+m.campo
jeffery	n.Jeffery
narcotic	n+m.narcótico@a+m.narcótico@a+f.narcótica
councilman	n+m.vereador
moulin	n+m.moinho
swaps	n+f.trocas@v.troca
unbranded	a+m.sem marca@a+f.sem marca
astronauts	n+m.astronautas
lockers	n+m.armários
paine	n.Paine
incompetent	a+m.incompetente@a+f.incompetente
attackers	n+m.atacantes
actuator	n+m.atuador
ain	n.Ain
reinstall	v.reinstalar
lander	n+m.módulo de pouso@n.Lander
predecessors	n+m.predecessores
lancer	n+m.lanceiro
sorcerer	n+m.feiticeiro
fishers	n+m.pescadores
invoking	v.invocando
muffin	n+m.muffin
motherhood	n+f.maternidade
wexford	n.Wexford
methanol	n+m.metanol
miscellany	n+f.miscelânea
simplifying	v.simplificando
slowdown	n+f.desaceleração
dressings	n+m.molhos@n+f.bandagens
bridesmaid	n+f.dama de honra
transistors	n+m.transistores
partridge	n+f.perdiz
synod	n+m.sínodo
noticing	v.notando
colgate	n.Colgate
lousy	a+m.péssimo@a+f.péssima
foreseeable	a+m.previsível@a+f.previsível
nutritionists	n+m.nutricionistas
newmarket	n.Newmarket
amigo	n+m.amigo
discerning	a+m.perspicaz@a+f.perspicaz@v.discernindo
resistors	n+m.resistores
burrows	n+f.tocas@v.escava@n.Burrows
furnaces	n+m.fornos@n+f.fornalhas
blondie	n.Blondie
zee	n+f.letra z
occupant	n+m.ocupante
livingstone	n.Livingstone
juggling	v.malabarizando@n+m.malabarismo
