آب	n+m.abe
ماسكارا	n+f.mascara
ماسكون	n+m.catchers
ماسون	n+m.mason
ماسوني	a.masonic
ماسونية	n+f.freemasonry
ماسونيون	n+m.masons@n+m.freemasons
ماسي	a+m.diamond@n+m.massey
ماسية	a+f.diamond
ماشي	int.meh
ماشية	n+f.cattle@n+f.livestock
ماشية ذات قرون طويلة	n+m.longhorns
ماشٍ	n+m.walker
ماشٍ بخطوات واسعة	n+m.strider
ماص	a.absorbent@n+m.absorber
ماصات	n+f.pipettes
ماصة	n+f.pipette
ماضية	a+f.past
ماضٍ	n+m.past@a+m.past@n+m.yesterdays@n+m.bygone
ماطر	a.rainy
ماعز	n+m.goat@n+m.goats
ماغدالينا	n+f.magdalena
ماغديبورغ	n+f.magdeburg
ماغما	n+f.magma
ماغنوليا	n+f.magnolia
ماغنوم	n+m.magnum
ماغنيتو	n+m.magneto
ماغي	n+f.maggie
مافيا	n+f.mafia
مافيس	n+f.mavis
ماك	n+m.mac@n+m.mack@n+m.macc
ماك آرثر	n+m.macarthur
ماكالن	n+m.mcallen
ماكاو	n+f.macau@n+f.macao
ماكاي	n+m.mckay
ماكبث	n+m.macbeth
ماكبرايد	n+m.mcbride
ماكدانيل	n+m.mcdaniel
ماكداول	n+m.mcdowell
ماكدونالد	n+m.mcdonald@n+m.macdonald
ماكدونيل	n+m.mcdonnell
ماكر	a.tricky@a.devious@a.sly@a.crafty@a.cunning@a.foxy@a.sneaky@a.artful@a.insidious@a.wily
ماكرو	n+m.macro
ماكروات	n+f.macros
ماكسويل	n+m.maxwell
ماكسيميليان	n+m.maximilian
ماكسين	n+f.maxine
ماكغوان	n+m.mcgowan
ماكغواير	n+m.mcguire
ماكغوفرن	n+m.mcgovern
ماكغي	n+m.mcgee
ماكفادن	n+m.mcfadden
ماكفارلاند	n+m.mcfarland
ماكفرسون	n+m.mcpherson
ماكفي	n+m.mcveigh
ماكفيرسون	n+m.macpherson
ماكلاود	n+m.macleod
ماكلور	n+m.mcclure
ماكلوفلين	n+m.mclaughlin
ماكلويد	n+m.mcleod
ماكليلان	n+m.mcclellan
ماكلين	n+m.mclean@n+m.mcclain
ماكماهون	n+m.mcmahon
ماكميلان	n+m.macmillan@n+m.mcmillan
ماكنايت	n+m.mcknight
ماكنتاير	n+m.mcintyre
ماكنتوش	n+m.macintosh@n+m.mcintosh@n+m.mackintosh
ماكنزي	n+m.mackenzie@n+m.mckenzie
ماكنمارا	n+m.mcnamara
ماكنوتون	n+m.mcnaughton
ماكنيل	n+m.mcneil
ماكو	n+m.mako
ماكورماك	n+m.mccormack
ماكورميك	n+m.mccormick
ماكول	n+m.mccall
ماكولو	n+m.mccullough
ماكولي	n+m.macaulay
ماكون	n+f.macon
ماكونيل	n+m.mcconnell
ماكوي	n+m.mccoy
ماكوين	n+m.mcqueen
ماكي	n+m.mckee
ماكيافيلي	n+m.machiavelli
ماكين	n+m.mccain
ماكيناك	n+f.mackinac
ماكينة حلاقة	n+f.shaver
ماكينلي	n+m.mckinley
ماكيني	n+m.mckinney
مال	n+m.money@v.tended@v.leaned@v.angled@n+m.geld@v.slanted@n+m.lolly
مالابار	n+m.malabar
مالاوي	n+f.malawi
مالج	n+f.trowel
مالح	a.salty@a.savoury
مالح قليلاً	a.brackish
مالدون	n+f.maldon
مالدونادو	n+m.maldonado
مالديفي	a.maldive
مالطا	n+f.malta
مالطي	a.maltese@n+m.maltese
مالفرن	n+f.malvern
مالك	n+m.owner@n+m.proprietor@n+m.possessor
مالك أرض	n+m.landowner
مالك الحزين	n+m.heron@n+m.herons
مالك عقار	n+m.landlord
مالكولم	n+m.malcolm
مالكون	n+m.proprietors
مالمو	n+f.malmo
مالوري	n+f.mallory
مالون	n+m.malone
مالي	a+m.financial@a+m.fiscal@n+f.mali@a.pecuniary
مالياً	ad.financially@ad.fiscally
ماليبو	n+f.malibu
مالية	a+f.financial@n+f.finance@a+f.fiscal
ماليزي	a.malaysian
ماليزيا	n+f.malaysia
ماما	n+f.mama@n+f.mommy@n+f.mamma
مامبو	n+f.mambo
ماموث	n+m.mammoth
مامي	n+f.mamie
مان	n+m.mann
مانا	n+f.mana
ماناساس	n+m.manassas
ماناغوا	n+f.managua
مانتوا	n+f.mantua
مانجو	n+f.mango
مانح	n+m.giver
مانح الامتياز	n+m.franchisor
مانح البقشيش	n+m.tipper
ماندالا	n+f.mandala
ماندالاي	n+f.mandalay
ماندرين	n+m.mandarin
ماندفيل	n+f.mandeville
ماندولين	n+m.mandolin
ماندي	n+f.mandy
مانديلا	n+m.mandela
مانز	n+m.mans
مانسفيلد	n+m.mansfield
مانسون	n+m.manson
مانشستر	n+f.manchester
مانشوري	n+m.manchu@a.manchu@a.manchurian@n+m.manchurian
مانشيني	n+m.mancini
مانع	n+m.impediment@a.prohibitive
مانع تجمد	n+m.antifreeze
مانع حمل	n+m.contraceptive
مانع للتخثر	a.anticoagulant
مانع للحمل	a.contraceptive
مانعون	n+m.blockers
مانغا	n+f.manga
مانغروف	n+m.mangrove
مانغوستين	n+m.mangosteen
مانفريد	n+m.manfred
مانكسي	a.manx
مانلي	n+m.manley
مانهاتن	n+f.manhattan
مانهايم	n+f.mannheim
مانوز	n+m.mannose
مانويل	n+m.manuel
مانويلا	n+f.manuela
ماني	n+m.mani
مانيبور	n+f.manipur
مانيتو	n+m.manitou
مانيتوبا	n+f.manitoba
مانيلا	n+f.manila@n+f.manilla
مانينغ	n+m.manning
مانيه	n+m.manet
ماهاراشترا	n+f.maharashtra
ماهر	a.skilled@a.proficient@a.adept@a.virtuoso@a.artful@a.skilful
ماهلر	n+m.mahler
ماهوجني	n+m.mahogany
ماو	n+m.mao
ماورو	n+m.mauro
ماوري	n+m.maori@a.maori
ماوريسيو	n+m.mauricio
ماوي	n+f.maui@n+m.maoist@a.maoist
ماويون	n+m.maoists
ماي	n+f.mai@n+f.mae
ماي سبيس	n+m.myspace
مايا	n+f.maya@a.mayan@n+m.mayan@n+f.maia
مايتاغ	n+f.maytag
مايداي	int.mayday
ماير	n+m.meyer@n+m.mayer@n+m.meier
مايرا	n+f.myra
مايرز	n+m.myers@n+m.meyers
مايرون	n+m.myron
مايز	n+m.mays
مايسترو	n+m.maestro
مايفلاور	n+f.mayflower
مايفير	n+f.mayfair
مايك	n+m.mike
مايكروسوفت	n+f.microsoft
مايكل	n+m.michael@n+m.micheal
مايكل أنجلو	n+m.michelangelo
مايلار	n+m.mylar
مايلز	n+m.myles
ماينارد	n+m.maynard
ماينتس	n+f.mainz
مايو	n+m.may@n+m.mayo
مايوت	n+f.mayotte
مايوركا	n+f.mallorca@n+f.majorca
مايونيز	n+m.mayonnaise
مباح	a.permissible
مباحث	n+m.detectives
مبادئ	n+f.principles@n+f.tenets@n+f.precepts
مبادر	a.initiated@a.initiating@n+m.initiator
مبادرات	n+f.initiatives
مبادرة	n+f.initiative
مبادل	n+m.exchanger
مبادلات	n+m.exchangers
مبادلون	n+m.swingers
مباراة	n+f.match@n+f.fixture
مباراة إعادة	n+f.rematch
مباراة فاصلة	n+f.playoff
مبارز	n+m.swordsman
مبارزة	n+m.fencing@n+f.duel
مبارك	a.blessed@n+m.mubarak
مباريات	n+f.matches
مباريات دولية	n+f.internationals
مباريات فاصلة	n+f.playoffs
مباشر	a+m.live@a+m.direct@a.firsthand@a.proximate@a.forthright
مباشرة	a+f.live@a+f.direct@ad.directly@ad.straight@ad.smack@ad.firsthand@ad.squarely
مباع	a+m.sold
مباعة	a+f.sold
مباعد	n+m.spacer
مبالغ	n+f.amounts@n+f.sums
مبالغ في تقديره	a.overrated
مبالغ في سعره	a.overpriced
مبالغ فيه	a.exaggerated@a.hyperbolic@a.hyped@a.grandiose
مبالغ قابلة للخصم	n+f.deductibles
مبالغة	n+f.overkill@n+f.exaggeration@n+f.hyperbole
مبانٍ	n+f.buildings@n+f.premises
مبانٍ ملحقة	n+f.outbuildings
مباهج	n+f.joys
مباول	n+f.urinals
مبايض	n+f.ovaries
مبتدئ	a+m.started@n+m.junior@n+m.newbie@n+m.beginner@n+m.initiate@n+m.rookie@n+m.novice@a.commencing@n+m.neophyte
مبتدئة	a+f.started
مبتدئون	n+m.beginners@n+m.newbies@n+m.initiates@n+m.rookies@n+m.novices
مبتذل	a.vulgar@a.kitsch@a.corny@a.trite@a.banal
مبتسم	a.smiling@a.smiley@a.grinning
مبتكر	a+m.innovative@a.groundbreaking@a.inventive@n+m.innovator@a.ingenious
مبتكرة	a+f.innovative
مبتكرون	n+m.innovators
مبتلى	a.plagued
مبتهج	a.cheerful@a.joyful@a.upbeat@a.joyous@a.elated
مبتهج جداً	a.ecstatic@a.delirious
مبتور	a.truncated
مبتور الأطراف	n+m.amputee
مبثوق	a.extruded
مبجل	a.venerable@a.revered
مبحوث	a.searched
مبدأ	n+m.principle@n+m.maxim@n+m.tenet@n+m.precept
مبدأ أخلاقي	n+m.ethic
مبدأ توجيهي	n+m.guideline
مبدئي	a.tentative
مبدئياً	ad.tentatively
مبدعون	n+m.creators@n+m.creatives
مبدل	a.swapped
مبدل تروس	n+m.derailleur
مبذّر	a.wasteful
مبرأ	a.acquitted
مبراة	n+f.sharpener@n+f.sharpeners
مبرد	a.cooled@a.chilled@a.refrigerated@n+m.coolant@n+f.filer@n+m.chiller@n+m.refrigerant@a.refrigerant
مبردات	n+f.coolers@n+f.chillers
مبرر	n+m.rationale@a.warranted@a.justifiable
مبررات	n+f.justifications@n+f.rationales
مبرمج	n+m.programmer@n+m.coder
مبرمجون	n+m.programmers@n+m.coders
مبرهنة	n+f.lemma
مبروك	int.congrats
مبرّد	a.cooling@n+m.cooler
مبسط	a.streamlined@n+m.minimalist
مبسّط	a.simplified
مبشر	n+m.missionary@n+m.evangelist@a.auspicious
مبشرون	n+m.missionaries@n+m.evangelists
مبشور	a.grated
مبصر	a.sighted
مبطن	a.quilted@a.cushioned
مبطَّن	a.padded
مبطّن	a.lined
مبعثر	a.strewn
مبعوث	n+m.envoy@a.resurrected
مبكر	a+m.early@a.preterm
مبكراً	ad.early
مبكرة	a+f.early
مبلط	a.flagged@a.tiled
مبلغ	n+m.amount@n+m.sum@n+m.amt
مبلغ عنه	a+m.reported
مبلغ عنها	a+f.reported
مبلغ مستحق	n+m.receivable
مبلل	a.soaked@a.drenched
مبنى	n+m.building@n+m.bldg
مبنى جاهز	n+m.prefab
مبنى سكني	n+m.tenement
مبني	a+m.based@a+m.built@a.constructed
مبني على	a.predicated
مبني للمجهول	a.passive
مبنية	a+f.based@a+f.built
مبهر	a.dazzling@a.blinding
مبهرج	a.flashy
مبوب	a.tabbed
مبولة	n+m.urinal
مبيت	n+m.doss@n+f.sleepover
مبيد أعشاب	n+m.herbicide
مبيد حشري	n+m.pesticide@n+m.insecticide
مبيد فطري	n+m.fungicide
مبيدات	n+f.pesticides
مبيدات أعشاب	n+f.herbicides
مبيدات حشرية	n+f.insecticides
مبيدات فطرية	n+f.fungicides
مبيض	n+m.bleach@n+m.ovary
مبيض قهوة	n+m.creamer
مبيضي	a.ovarian
مبيعات	n+f.sales
مبيعات تجزئة	n+f.retails
مبيعات هاتفية	n+f.telesales
متآكل	a.eroded@a.weathered@a.eroding
متآمر	n+m.plotter
متآمرون	n+m.plotters@n+m.conspirators
متأثر	a+m.affected@a.influenced@a.touched@a.impacted@a.stirred
متأثرة	a+f.affected
متأخر	a+m.late@a.delayed@a.trailing@a.overdue@a.belated@a.lagged@a.lated@a.tardy
متأخرات	n+f.arrears@n+f.backlog
متأخراً	ad.late
متأخرة	a+f.late
متأرجح	a.swinging@n+m.swinger
متأرجحون	n+m.rockers
متأصل	a.ingrained
متأصِّل	a.inherent
متأكد	a+m.sure@a+m.certain
متأكدة	a+f.sure@a+f.certain
متأكسد	a.oxidized
متألق	a.flamboyant@a.resplendent
متألم	a.hurt@a.hurting
متأمل	a.contemplated@a.brooding@a.meditating@a.pensive
متأنق	n+m.fop
متأنٍ	a.meticulous
متأهل للنهائي	n+m.finalist
متأهلون للنهائي	n+m.finalists
متابع	n+m.follower
متابعات	n+f.followings@n+f.followups
متابعة	n+m.followup@n+f.pursuance
متابعون	n+m.following@n+m.followers
متاجر	n+f.stores@n+f.shops
متاجر صغيرة	n+f.boutiques
متاجر ضخمة	n+f.superstores
متاح	a+m.available@a+m.accessible@a.accessed
متاحة	a+f.available@a+f.accessible
متاحف	n+f.museums
متاريس	n+f.barricades
متاعب	n+f.hassles
متانة	n+f.durability@n+f.robustness@n+f.toughness@n+m.soundness
متاهات	n+f.mazes
متاهة	n+f.maze@n+f.labyrinth
متبادل	a+m.mutual@a.reciprocal
متبادلة	a+f.mutual
متباطئ	a.lingering
متباعد	a.spaced@a.divergent
متباين	a.contrasting@a.disparate@a.divergent@a.contrasted@a.dissimilar
متباين الخواص	a.anisotropic
متباينات	n+f.inequalities
متبحر	a.erudite
متبخر	a.evaporated
متبرع	n+m.donor
متبرعون	n+m.donors
متبع	a+m.followed
متبعة	a+f.followed
متبقي	a.leftover
متبقيات	n+m.residuals
متبقية	a+f.left@a+f.remaining
متبقٍ	a+m.left@a+m.remaining@a.residual
متبل	a.seasoned@a.spiced@a.marinated
متبلد	a.callous
متبلور	a.crystallized
متبناة	a+f.adopted
متبنى	a+m.adopted@a.fostered
متبنّون	n+m.adopters
متتالي	a.successive
متتالٍ	a.consecutive@a.cascading
متتبع	a.traced@n+m.tracer
متتبعون	n+m.trackers
متتبّع	a.tracked@n+m.tracker
متجانس	a.homogeneous@a.homologous@a.monolithic
متجانس الخواص	a.isotropic
متجاهل	a.ignored@a.disregarded
متجاوب	a.responsive@a.resonant
متجاور	a.contiguous
متجاوز	a.overridden
متجدد	a.renewable@a.reborn@a.redux@a.regenerate
متجذر	a.rooted@a.entrenched
متجر	n+m.store@n+m.shop@n+m.outlet@n+m.mart@n+m.shoppe
متجر صغير	n+m.boutique
متجر كبير	n+m.superstore
متجر مستلزمات	n+f.chandlery
متجسد	a.embodied
متجسس	n+m.snooper
متجمد	a.frosty
متجمع	a.clustered
متجمِّد	a.freezing
متجه	n+m.vector@a.headed
متجه جنوباً	a.southbound
متجه شرقاً	a.eastbound
متجه شمالاً	a.northbound
متجه غرباً	a.westbound
متجهات	n+m.vectors
متجهم	a.grumpy
متجول	a.wandering@n+m.rambler@a.roving@n+m.wanderer@a.peregrine@a.itinerant@n+m.itinerant@n+m.trekker@a.vagrant
متجول شاطئ	n+m.beachcomber
متجولون	n+m.wanderers@n+m.ramblers
متحارب	a.warring
متحالف	a.allied@n+m.confederate
متحجر	a.petrified
متحد	a+m.united
متحد البؤرة	a.confocal
متحد المركز	a.concentric
متحد مجدداً	a.reunited
متحدة	a+f.united
متحدث	n+m.speaker@n+m.talker
متحدث رسمي	n+m.spokesman@n+m.spokesperson
متحدثة	n+f.spokeswoman
متحدثون	n+m.speakers@n+m.talkers@n+m.spokesmen
متحدثون رسميون	n+m.spokespersons
متحدي	a.defiant
متحدٍّ	a.defied
متحذلق	n+m.smarty@a.pedantic
متحرر	a.liberated
متحرك	a+m.moving@a.animated@a.movable@a.locomotive@a.moveable
متحركة	a+f.moving
متحسن	a+m.improving
متحسنة	a+f.improving
متحضر	a.civilized@a.civilised
متحطم	a.crashed
متحف	n+m.museum
متحفظ	a.discreet@a.coy@a.hesitant@a.prim@a.understated@a.stuffy@a.aloof
متحكّم	a.controlling
متحلل	a.decaying@a.decomposed@a.decayed@a.decomposing
متحمس	a.excited@a.keen@n+m.enthusiast@a.enthusiastic@a.thrilled@a.pumped@a.ardent@a.zealous@a.fervent@n+m.devotee@a.impassioned@a.stoked
متحمسون	n+m.enthusiasts
متحمِّس	a.eager
متحول	n+m.convert@a.mutated@a.metamorphic
متحول جنسياً	a.transsexual@n+m.transsexual@a.transgender@n+m.transgender@a.transgendered
متحولون	n+m.mutants
متحولون جنسياً	n+m.transsexuals
متحوِّر	n+m.mutant@a.mutant
متحير	a.puzzled
متحيز	a.biased@a.partisan@a.prejudiced
متحيز جنسياً	a.sexist@n+m.sexist
متخرج	a.graduating
متخرّج	a.graduated
متخصص	a.specialized@a.specialised
متخصص عام	n+m.generalist
متخصصون	n+m.specialists
متخفٍّ	a.incognito
متخلف	a.retarded@a.defaulted@a.underdeveloped
متخلف عن الدفع	n+m.deadbeat
متخلل	a.interspersed
متخلى عنه	a.relinquished
متخنثون	n+m.transvestites
متخنِّث	n+m.transvestite
متخوف	a.apprehensive
متخيل	a.imagined
متداخل	a.nested@a.nesting@a.overlapping@a.nestled@a.staggered@a.interwoven@a.interleaved@a.overlapped
متدافع	a.flocked
متداول	a.circulating
متدحرج	a.rolling
متدخل	a.interfering@a.intervening
متدرب	n+m.intern@n+m.apprentice@n+m.trainee@n+m.interne
متدربون	n+m.trainees@n+m.interns@n+m.apprentices
متدرج	a.scaled@a.paced@a.tiered@a.terraced@a.ombre
متدفق	a.flowing@a.gushing
متدلي	a.dangling
متدهور	a.degraded@a.deteriorated@a.deteriorating
متدين	a.devout
متذبذب	a.vibrating@a.oscillating@a.unsteady@a.wobbly
متذمر	a.cranky@a.whiny
متذوق	n+m.taster
متر	n+m.meter@n+m.metre
مترابط	a.threaded@a.bonded@a.interconnected@a.interrelated@a.interdependent
مترابطات	n+f.correlates
متراجع	a.declining@a.recessed
متراخٍ	a.flagging
متراس	n+f.barricade@n+m.rampart
مترافق	a.conjugate
متراكب	a.superimposed
متراكم	a.accrued@a.accruing@a.amassed
مترامي الأطراف	a.sprawling
متربص	n+m.lurker
مترتب	a.entailed
مترجم	a.translated@n+m.translator@a.subtitled
مترجم برمجي	n+m.compiler
مترجم فوري	n+m.interpreter
مترجمون	n+m.translators@n+m.interpreters@n+m.compilers
متردد	a.reluctant@a.tentative@a.undecided@a.hesitant@a.halting
مترنح	a.reeling
مترهل	a.limp@a.saggy@a.sagging
مترو	n+m.metro@n+f.metros@n+f.subways
مترو أنفاق	n+m.subway
مترو الأنفاق	n+m.underground
متروبوليتاني	a.metropolitan
متري	a.metric
متزامن	a.concurrent@a.simultaneous@a.synchronous@a.synchronized@a.contemporaneous@a.coincident
متزاوج داخلياً	a.inbred
متزايد	a+m.increased@a+m.growing@a+m.increasing@a.heightened
متزايدة	a+f.increased@a+f.growing@a+f.increasing
متزعزع	a.shaky
متزلج	n+m.skater@n+m.skier
متزلجون	n+m.skaters@n+m.skiers
متزمت	a.puritan
متزمتون	n+m.puritans
متزن	a.sober@a.poised@a.temperate
متزوج	a+m.married@a.wedded
متزوجة	a+f.married
متزوجون حديثاً	n+m.honeymooners@n+m.newlyweds
متسابق	n+m.racer@n+m.contestant
متسابقون	n+m.racers@n+m.contestants
متسارع	a.accelerating
متساقط الأوراق	a.deciduous
متسامح	a.tolerant@a.forgiving
متساهل	a.lax@a.permissive@a.indulgent@a.lenient
متساوي الحرارة	a.isothermal
متساوي الضغط	a.isobaric
متساوي القياس	a.isometric
متساوية	a+f.even@a+f.equal
متساوٍ	a+m.even@a+m.equal
متسخ	a.soiled
متسرب	n+m.dropout@a.leaky
متسرع	a.hasty@a.precipitate@a.headlong
متسع	a.flared@a.dilated
متسق	a+m.consistent
متسقة	a+f.consistent
متسكعون	n+m.loafers
متسلسل	a+m.serial@a.sequential
متسلسلة	a+f.serial
متسلق	n+m.climber
متسلق جبال	n+m.mountaineer
متسلقو جبال	n+m.mountaineers
متسلقون	n+m.climbers@n+m.crawlers
متسلل	n+m.sneak@a.sneaky@a.sneaking@n+m.prowler@a.offside
متسوق	n+m.shopper
متسوقون	n+m.shoppers
متسول	n+m.beggar
متسولون	n+m.beggars
متشائم	a.pessimistic@n+m.cynic@a.bearish@a.downbeat
متشابك	a.matted@a.tangled@a.interlocking@a.intertwined@a.entangled@a.interwoven@a.interlaced@a.entwined
متشابه	a.alike
متشارك	a.partnered
متشبث	a.clinging@a.clutching
متشبث برأيه	a.opinionated
متشدد	a+m.hardcore@a.militant@a.diehard
متشددة	a+f.hardcore
متشددون	n+m.militants
متشددون لغوياً	n+m.purists
متشرد	n+m.bum@n+m.hobo@n+m.tramp@n+m.vagabond@n+m.drifter@n+m.derelict@n+m.vagrant
متشردون	n+m.bums@n+m.drifters@n+m.tramps
متشعب	a.rambling@a.forked
متشكك	a.cynical@a.sceptical
متشمم	n+m.sniffer
متشنج	a.jerky@a.uptight
متشوق	a.desirous
متصادم	a.colliding@a.clashing
متصارع	a.conflicted
متصاعد	a.escalating@a.surging@a.escalated@a.skyrocketing
متصالح	a.reconciled
متصدر	a.topped
متصدع	a.cracked
متصفح	n+m.browser
متصفحات	n+f.browsers
متصل	a+m.connected@a.wired@a.interconnected@a.unbroken@a.bridged@a.interconnecting
متصل بشبكة	a.networked
متصلب	a.hardened
متصلة	a+f.connected
متصلون	n+m.callers
متصنع	a.arty
متصنع الفن	a.artsy
متصور	a.conceivable
متصوف	n+m.mystic
متصيد	n+m.troll
متضائل	a.diminished@a.waning
متضايق	a.distressed
متضخم	a.overgrown@a.hypertrophic
متضرر	a.harmed@a.aggrieved
متضلع	a.versed
متضمن	prep.involving
متطابق	a.matched@a.congruent
متطرف	a+m.extreme@a.fanatic@n+m.extremist@a.extremist@a.rabid@a.fanatical
متطرفة	a+f.extreme
متطرفون	n+m.radicals@n+m.extremists
متطفل	n+m.snoop@n+m.intruder@n+m.snooper@a.pushy
متطفلون	n+m.crashers@n+m.intruders
متطلب	n+m.requirement@a.exacting
متطلبات	n+f.requirements@n+f.requisites
متطلبات مسبقة	n+f.prerequisites
متطلع	a.aspiring@a.wannabe
متطلِّب	a.demanding
متطور	a+m.developed@a.sophisticated
متطورة	a+f.developed
متطوع	n+m.volunteer
متطوعة	n+f.volunteer
متطوعون	n+m.volunteers
متظاهر	n+m.poser@n+m.demonstrator
متظاهرون	n+m.demonstrators@n+m.protestors
متعارض	a.conflicting
متعاطف	a.sympathetic
متعالٍ	a.transcendental@a.transcendent@n+m.snob@a.condescending@a.transcending
متعامد	a.orthogonal
متعاون	a.accommodating@a.collaborated@n+m.collaborator
