অ	a.non
ফ্রেম করা	v.framed@v.framing
ফ্রেম প্রতি সেকেন্ড	n+m.fps
ফ্রেমওয়ার্ক	n+m.framework
ফ্রেমন্ট	n+m.fremont
ফ্রেমবিহীন	a.unframed
ফ্রেমযুক্ত	a.framed
ফ্রেমিং	n+f.framing
ফ্রেয়া	n+f.freya
ফ্রেশনার	n+m.fresheners
ফ্রেশম্যান	n+f.frosh
ফ্রেশার	n+m.freshers
ফ্রেসনেল	n+m.fresnel
ফ্রেসনো	n+m.fresno
ফ্রেস্কো	n+m.fresco@n+m.frescoes
ফ্রোডো	n+m.frodo
ফ্র্যাংকেল	n+m.frankel
ফ্র্যাক্টাল	n+m.fractal@n+m.fractals
ফ্র্যাঙ্কি	n+m.frankie
ফ্র্যাঞ্চাইজ	n+f.franchises
ফ্র্যাঞ্চাইজ দিয়েছে	v.franchised
ফ্র্যাঞ্চাইজদাতা	n+m.franchisor
ফ্র্যাঞ্চাইজি	n+f.franchise@n+m.franchisees@n+m.franchisee
ফ্র্যাঞ্চাইজিং	n+m.franchising
ফ্র্যাটার্নিটি	n+m.frat
ফ্লক্স	n+m.phlox
ফ্লপি	n+m.floppy@n+f.diskette
ফ্লপি ডিস্ক	n+f.floppies@n+f.diskettes
ফ্লয়েড	n+m.floyd
ফ্লাইট	n+m.flight@n+m.flights@n.flt
ফ্লাইশার	n+m.fleischer
ফ্লাইহুইল	n+m.flywheel
ফ্লামেনকো	n+m.flamenco
ফ্লায়ার	n+m.flyer@n+m.flyers
ফ্লার্ট করা	vi.flirt
ফ্লার্টি	a.flirty
ফ্লাশ	n+m.flush@n+m.flushes
ফ্লাশ করা	v.flush@v.flushed
ফ্লাশিং	n+m.flushing
ফ্লাস্ক	n+m.flask@n+m.flasks
ফ্লিটউড	n+m.fleetwood
ফ্লিন	n+m.flynn
ফ্লিন্টশায়ার	n+m.flintshire
ফ্লিন্টস্টোনস	n+m.flintstones
ফ্লিন্ডার্স	n+m.flinders
ফ্লিপার	n+m.flipper@n+m.flippers
ফ্লিস	n+m.fleece
ফ্লু	n+m.flu
ফ্লুইড	n+m.fluids
ফ্লুরাইড যোগ করা	n+m.fluoridation
ফ্লুরাইডেশন	n+f.fluoridation
ফ্লুরি	n+m.fleury
ফ্লুরোসিন	n+m.fluorescein
ফ্লুরোসেন্ট	a.fluorescent
ফ্লুরোসেন্স	n+f.fluorescence
ফ্লেক	n+f.flakes
ফ্লেচার	n+m.fletcher
ফ্লেমিং	n+m.fleming
ফ্লেমিঙ্গো	n+m.flamingo
ফ্লেমিশ	a.flemish
ফ্লেমিশ ভাষা	n+m.flemish
ফ্লো	n+f.flo
ফ্লোচার্ট	n+m.flowchart@n+m.flowcharts
ফ্লোর	n+m.flor@n+m.fluor
ফ্লোরশিম	n+m.florsheim
ফ্লোরা	n+f.flora
ফ্লোরাইড	n+m.fluoride
ফ্লোরিং	n+f.flooring
ফ্লোরিডা	n+f.florida@n+m.fla
ফ্লোরিডাবাসী	n+m.floridian
ফ্লোরিডার	a.floridian
ফ্লোরিন	n+m.florin@n+m.fluorine
ফ্লোরেন্স	n+f.florence@n+f.firenze
ফ্লোরেন্সবাসী	n+m.florentine
ফ্লোরেন্সের	a.florentine
ফ্লোরেস	n+m.flores
ফ্ল্যাক্সসিড	n+m.flaxseed
ফ্ল্যাগপোল	n+m.flagpole
ফ্ল্যাগশিপ	n+m.flagship
ফ্ল্যাগস্টাফ	n+m.flagstaff
ফ্ল্যাঞ্জ	n+m.flange@n+f.flanges
ফ্ল্যাঞ্জযুক্ত	a.flanged
ফ্ল্যাট	n+m.flat@n+f.condo@n+f.condos@n+m.flats
ফ্ল্যাটবেড	n+m.flatbed
ফ্ল্যাটমেট	n+m.flatmate
ফ্ল্যানাগান	n+m.flanagan
ফ্ল্যানেল	n+m.flannel
ফ্ল্যান্ডার্স	n+m.flanders
ফ্ল্যাপ	n+m.flap@n+m.flaps
ফ্ল্যাপার	n+f.flapper
ফ্ল্যামিঙ্গো	n+m.flamingos
ফ্ল্যাশ	n+m.flash
ফ্ল্যাশকার্ড	n+m.flashcards@n+m.flashcard
ফ্ল্যাশব্যাক	n+m.flashback@n+m.flashbacks
ফ্ল্যাশলাইট	n+m.flashlight@n+f.flashlights
ফ্ল্যাশার	n+m.flashers@n+m.flasher
ব-দ্বীপ	n+m.deltas
বং	n+m.bong@n+m.bongs
বংশ	n+m.clan@n+f.descent@n+m.lineage@n+m.clans@n+f.gens
বংশগত	a.genetic@a.ancestral@a.hereditary@a.familial@a.blooded
বংশগত গঠন	n+m.genotypes
বংশগতি	n+f.heredity
বংশগতিবিদ্যা	n+f.genetics
বংশতালিকা	n+f.genealogy@n+m.pedigree@n+m.pedigrees
বংশতালিকা সংক্রান্ত	a.genealogical
বংশতালিকাবিদ	n+m.genealogists
বংশধর	n+m.offspring@n+m.descendants@n+m.scion@n+m.descendant@n+m.progeny
বংশধারা	n+f.lineages@n+f.bloodline
বংশনাম	n+m.surnames
বংশপরম্পরা	n+m.dynasty@n+f.lineage@n+f.bloodlines@n+f.lineages@n+f.ancestries
বংশপরিচয়	n+f.ancestry@n+f.pedigree@n+m.paternity@n+m.parentage
বংশপ্রতীক সংক্রান্ত	a.heraldic
বংশবিকাশ	n+f.phylogeny
বংশবিকাশ সংক্রান্ত	a.phylogenetic
বংশবিস্তার	n+f.propagation
বংশবিস্তার করা	vt.propagate
বংশবিস্তার করে	v.propagates
বংশবিস্তারকারী	n+m.propagator
বংশানুক্রমে	ad.genetically
বংশানুক্রমে দেওয়া	vt.entail
বংশাবলী	n+m.genealogy
বই	n+m.books@n+m.book
বই ধরে রাখার সরঞ্জাম	n+m.bookends
বই বাঁধাইয়ের কারখানা	n+f.bindery
বই বিক্রেতা	n+m.bookseller
বইখাতা রাখা	n+f.bookkeeping
বইপোকা	n.nerds@n+m.bookworm@a.bookish
বইবিক্রেতা	n+m.booksellers
বইয়ের আকার	n+m.quarto
বইয়ের খাপ	n+f.slipcase
বইয়ের তাক	n+m.bookshelf@n+m.bookcase@n.bookcases@n.bookshelves
বইয়ের দোকান	n+m.bookstore@n+m.bookshop@n+m.bookstores@n+f.bookshops
বইয়ের প্রশংসা	n+m.blurb
বউ	n+f.wife
বক	n+m.heron@n+m.bock@n+m.egret@n+m.herons
বকনা বাছুর	n+f.heifers@n+f.heifer
বকবক	n+m.jabber@n+m.chatter@n+m.gab@n+m.babble@n+m.yap
বকবক করছে	v.babbling
বকবক করা	vi.jabber@vi.chatter@vi.spiel@vi.gab@v.witter@v.blather@v.chattering
বকবক করা লোক	n+m.gabber
বকবক করে	v.chatters
বকবককারী	n+m.babbler
বকবকানি	n+f.gibberish
বকবকে লোক	n+m.chatterbox
বকশিশ	n+f.gratuity@n+f.gratuities
বকাঝকা করা	vt.nag
বকাবকি করে	v.nags
বকুনি দেওয়া মানুষ	n+m.nags
বকেয়া	a.outstanding@a.owed@n+m.arrears
বক্তব্য	n+f.assertion
বক্তব্য হিসেবে উপস্থাপন করে	vt.predicates
বক্তা	n+m.speaker@n+m.speakers@n+m.lecturer@n+m.preacher@n+m.lecturers@n+m.mouthpiece@n+m.talker@n+m.talkers@n+m.orator@n+m.discussant@n+m.sayer@n+m.lector
বক্তৃতা	n+m.speech@n+m.speaking@n+f.lecture@n+f.lectures@n+f.speeches@n+m.discourse@n+f.sermon@n+f.sermons@n+m.spiel
বক্তৃতা করে	vi.discourses
বক্তৃতা দিয়েছিল	v.lectured
বক্তৃতা দেওয়া	v.lecture@v.lectures@v.lecturing
বক্তৃতা প্রশিক্ষণ সংস্থা	n+m.toastmasters
বক্তৃতা শিল্প	n+m.oratory
বক্র	a.oblique@a.curved@a.curvy
বক্রতা	n+f.curvature
বক্ররেখা	n+f.curve@n+f.curves@n+m.arcs
বক্ষ	n+m.bust@n+f.bosom@n+m.thorax
বক্ষ সংক্রান্ত	a.thoracic
বক্ষগ্রন্থি	n+m.thymus
বক্স	n+m.box@n+m.boxes
বক্সউড	n+m.boxwood
বক্সকার	n+m.boxcar
বক্সাইট	n+m.bauxite
বক্সার	n+m.boxer@n+m.boxers
বক্সিং	n+m.boxing
বগল	n+m.armpit@n+m.armpits
বগলদণ্ড	n+m.crutch
বগলদাবা	n+m.crutches
বগলের	a.axillary
বগলের নিচে	a.underarm
বগলের নিচে দিয়ে	ad.underarm
বগি	n+f.carriage@n+m.compartment@n+m.bogey
বঙ্গ	n+m.bengal
বঙ্গো	n+m.bongo
বঙ্গো ড্রাম	n+m.bongo
বছর	n+m.year@n+m.years@n+m.yrs
বছরে	ad.yearly
বছরের বই	n+f.yearbook
বজ	n+m.boz
বজরা	n+m.barges@n+m.houseboat
বজায় রাখা	v.keep@v.maintain@v.maintaining@v.retain@vt.sustain@v.retains@vt.uphold
বজায় রাখে	v.maintains@v.sustains
বজ্র	n+m.thunder@n+f.thunderbolt
বজ্রঝড়	n+f.thunderstorms@n+m.thunderstorm
বজ্রধ্বনি	a.thundering
বজ্রপাখি	n+f.thunderbird
বজ্রপাত	n+m.lightning@n+m.thunderbolt
বঞ্চনা	n+f.deprivation
বঞ্চিত	a.deprived@a.betrayed@a.underprivileged@a.bereft
বঞ্চিত করছে	v.depriving
বঞ্চিত করা	v.deprived@vt.deprive@v.divest
বঞ্চিত ব্যক্তি	n+m.underdog
বট	n+m.bot@n+m.bots@n+m.bott
বটগাছ	n+m.banyan
বটের	n+f.quail
বড	n+m.baud
বড়	a+m.big@a+f.big@a+m.large@a+f.large@a+m.larger@a+f.larger@a.grand@n+m.gros@a.goodly
বড় অংশ	n+m.bulk
বড় আকার করা	v.supersize
বড় আকারের	a.magnum
বড় করছে	v.enlarging
বড় করল	v.magnified
বড় করা	v.enlarge@v.enlarged@n+f.upbringing
বড় কাঁচি	n.shears
বড় কিছু	n+m.biggie
বড় কুকুর	n+m.mastiff
বড় কোট	n+m.overcoat
বড় গহ্বর	n+f.cavern@n+m.caverns
বড় গিরগিটি	n+f.iguana
বড় গির্জা	n+f.basilica@n+f.minster
বড় ঘোড়া	n+m.clydesdale
বড় চামচ	n+f.tablespoon
বড় জাহাজ	n+f.galleon
বড় টুকরা	n+m.hunks
বড় টুকরো	n+m.hunk@n+f.chunk
বড় ডাল	n+f.bough
বড় তাঁবু	n+m.marquee@n+m.marquees
বড় দা	n+f.machete
বড় দেহের মানুষ	n+f.hulk
বড় দোকান	n+m.emporium@n+m.superstores
বড় পদক্ষেপ	n+m.stride@n.strides
বড় পরিমাণ	n+m.truckload
বড় পা ফেলে হাঁটা	vi.stride
বড় পাখি	n+f.pelican@n+f.emu@n+m.rhea
বড় পাত্র	n+m.vat@n+f.tubs@n+m.platter@n.platters@n+f.cask
বড় পাথর	n+m.boulder
বড় পানপাত্র	n+m.tankard
বড় পাল	n+m.spinnaker
বড় পিপা	n+m.tun
বড় পুরস্কার	n+f.jackpot@n.jackpots
বড় ফার্ন	n+f.bracken
বড় বই	n+m.tomes
বড় বাণিজ্যিক জাহাজ	n+f.argosy
বড় ব্যাগ	n+f.holdall
বড় ব্যাঙ	n+m.bullfrog
বড় ভুল	n+m.blunder@n+m.blunders
বড় মাছ	n+m.tarpon
বড় মাপের	a.oversize
বড় মৌমাছি	n+m.hornets@n+f.bumblebee
বড় রে মাছ	n+f.manta
বড় রেডিও	n+m.boombox
বড় শিংওয়ালা ভেড়া	n+m.bighorn
বড় সমাবেশ	n+f.jamboree
বড় সমুদ্র পাখি	n+m.albatross
বড় হওয়া	v.grew
বড় হয়ে গেছে	v.outgrown
বড় হরফের	a.uppercase
বড় হরিণ	n+m.elk@n+m.moose
বড় হাঁড়ি	n+f.cauldron
বড় হাতে লেখা	vt.capitalize
বড় হাতের অক্ষর	n+m.capitals@n+m.uppercase@n+f.capitalisation
বড় হাতের অক্ষর ব্যবহার	n+f.capitalization
বড় হাতের অক্ষরে	a.capitalised
বড় হাতের অক্ষরে লেখা হয়েছে	v.capitalized
বড়দিন	n+m.christmas@n+m.noel
বড়শিবাজ	n+m.anglers@n+m.angler
বড়সড়	a.bulky@a.roomy
বড়াই	n+m.boasts@n+m.boast@n+m.bravado
বড়াই করছে	v.boasting@v.bragging
বড়াই করা	vi.brag
বড়াই করেছিল	v.boasted
বড়াইখোর	n+m.showoff
বড়াইপূর্ণ	a.grandiose
বড়ি	n+f.pills@n+f.pill@n+f.tablet@n+f.tablets@n+m.pellets
বড়োসড়ো	a.sizeable
বডিগার্ড	n+m.bodyguard
বডিবিল্ডার	n+m.bodybuilders@n+m.bodybuilder
বডিবিল্ডিং	n+m.bodybuilding
বডোনি	n+m.bodoni
বণিক	n+m.merchant@n+m.merchants@n+m.trader@n+m.traders@n+m.businessman@n+m.businessmen
বণিক সম্পর্কিত	a.mercantile
বণ্টন	n+m.allocation@n+f.apportionment
বণ্টন করছে	v.allocating
বণ্টন করা	v.distributing@v.allot
বণ্টন করেছে	v.apportioned
বণ্টনমূলক	a.distributive@a.distributional
বণ্টনযোগ্য	a.distributable
বতসোয়ানা	n+f.botswana
বতসোয়ানার মুদ্রা	n+f.pula
বদনাম	a.infamous@n+f.notoriety
বদনামগ্রস্ত	a.notorious
বদনামের সাথে	ad.notoriously
বদবুযুক্ত	a.smelly
বদমাশ	int.fuck@n+m.rogue@n+m.fuckers@n+m.rascal@n+m.thugs@n+m.crooks@n+m.crook@n+m.scamp@n+m.punks@n+m.rogues@n+m.scoundrels@n+m.rascals@n+m.sods@n+m.goons
বদমেজাজি	a.cranky@a.grumpy@a.surly@a.bitchy
বদমেজাজী	a.crusty
বদলানো	v.alter@v.altering
বদলানো যায়	a.replaceable
বদলায়	vt.alters
বদলি	n+f.substitution@n+f.replacements@n+f.transference
বদলি করছে	v.substituting
বদলি করা	a.seconded@v.transferring
বদলিযোগ্য	a.transferable
বদলে	ad.instead
বদলে দেয়	v.replaces
বদহজম	n+f.indigestion
বধ করা	vt.slay@v.slaying
বধকারী	n+m.slayer
বধির	a.deaf
বধির ব্যক্তি	n+m.deaf
বধিরকারী	a.deafening
বধিরতা	n+m.deafness
বধূর সহচরী	n+f.bridesmaids
বধ্যা করা	v.neuter
বন	n+m.forest@n+m.woods@n+m.forests@n+f.jungle@n+m.bonn
বন উজাড়	n+f.deforestation
বন প্রহরী	n+m.ranger
বনচাষ	n+f.silviculture
বনজীবী	n+m.woodman
বনফুল	n.wildflowers
বনবিড়াল	n+m.lynx@n+m.bobcats
বনবিদ্যা	n+f.forestry@n+f.woodcraft@n+m.silviculture
বনভিল	n+m.bonneville
বনভূমি	n+m.woodland@n+f.timberland@n+m.woodlands
বনভূমি সম্পর্কিত	a.sylvan
বনভোজন	n+f.picnic@n+m.outing@n+f.picnics
বনময়	a.sylvan
বনমানুষ	n+m.apes
বনমুরগি	n+m.pheasant@n+m.grouse
বনমোরগ	n+m.pheasants
বনরক্ষক	n+m.forester@n+m.foresters
বনলতা	n+f.woodbine
বনসাই	n+m.bonsai
বনাচ্ছাদিত	a.wooded@a.forested
বনাঞ্চল	n+m.wilds
বনাঞ্চল ধ্বংস	n+m.deforestation
বনাম	prep.versus
বনায়ন	n+f.forestry
বনার	n+m.bonner
বনি	n+f.bonnie
বনিটা	n+f.bonita
বনিটো মাছ	n+m.bonito
বনিফেস	n+m.boniface
বনেট	n+m.bonnet
বনের আগুন	n+m.wildfire
বনের ফাঁকা জায়গা	n+m.glade@n+f.glades
বনৌষধির	a.herbal
বন্টন	n+m.distribution
বন্টন করা	v.distribute
বন্টন করে	v.allocates
বন্ড	n+m.bond@n+m.bonds
বন্দর	n+m.port@n+m.ports@n+m.harbour@n+m.seaport@n+m.harbours
বন্দর এলাকা	n.docklands
বন্দর শ্রমিক	n+m.dockers
বন্দি	n+m.hostages@n+m.detainee
বন্দিত্ব	n+f.imprisonment@n+f.confinement@n+m.captivity@n+m.incarceration@n+f.detentions
বন্দী	a.captured@n+m.prisoners@n+m.prisoner@n+m.inmates@n+m.captive@a.captive@n+m.hostage@n+m.inmate@n+m.detainees@a.imprisoned@n+m.captives
বন্দী করা	v.captured
বন্দী ব্যক্তি	n+m.captives
বন্দীকারী	n+m.captors@n+m.captor
বন্দুক	n+m.gun@n+m.guns@n+f.shotgun@n+f.rifles@n+f.firearm@n+m.gats
বন্দুক চালাচ্ছে	v.gunning
বন্দুকধারী	n+m.shooters@n+m.gunner@n.gunmen@n+m.gunman@n+m.gunners
বন্দুকধারী সৈনিক	n+m.musketeers
বন্দুকবাজ	n+m.gunslinger
বন্দুকযুক্ত	a.gunned
বন্দুকের আওয়াজ	n+f.gunfire
বন্দুকের ছুরি	n+f.bayonet
বন্দুকের পেছনের অংশ	n+m.breech
বন্ধ	ad.off@a.off@a+m.closed@a+f.closed@a.stopped@a.shut@n+f.closure@a.enclosed@n+m.shutdown@a.ceased@n+f.closings@a.clos@a.deactivated@n+m.discontinuance
বন্ধ করছে	v.shutting@v.discontinuing
