the	art+m.der@art+f.die@art+n.das
scrapped	v.verschrottete@a.verworfen
dillard	n.Dillard
wands	n.Zauberstäbe@n.Stäbe
orphanage	n+n.Waisenhaus
illustrious	a.illuster@a.berühmt
disruptions	n.Störungen@n.Unterbrechungen
erasure	n+f.Löschung@n+f.Tilgung
fishy	a.fischig@a.verdächtig
preamp	n+m.Vorverstärker
pauses	n.Pausen@v.pausiert
ziegler	n.Ziegler
loewe	n.Loewe
intoxication	n+f.Vergiftung@n+m.Rausch
freelancer	n+m.Freiberufler@n+m.Freelancer
glimmer	n+m.Schimmer@v.schimmern
radars	n.Radare@n.Radargeräte
materiel	n+n.Material@n+f.Ausrüstung
blooded	a.blütig@a.vollblütig
slamming	v.knallend@n+n.Knallen
cooperstown	n.Cooperstown
syllables	n.Silben
staffers	n.Mitarbeiter@n.Belegschaft
daw	n+f.DAW
whim	n+f.Laune@n+m.Einfall
teddies	n.Teddys@n.Teddybären
upsilon	n+n.Ypsilon
sizable	a.beträchtlich@a.ansehnlich
coenzyme	n+n.Coenzym
filmy	a.hauchzart@a.dünn
timid	a.schüchtern@a.zaghaft
afterlife	n+n.Leben nach dem Tod@n+n.Jenseits
mather	n.Mather
ismail	n.Ismail
cml	n+f.CML
tampering	n+f.Manipulation@v.manipulierend
counterpoint	n+m.Kontrapunkt
weavers	n.Weber
magically	ad.magisch@ad.wie durch Zauber
pied	a.gescheckt@a.bunt
thyself	pron.dich selbst@pron.dir selbst
wristband	n+n.Armband@n+f.Manschette
jimenez	n.Jiménez
chiller	n+m.Kühlaggregat@n+m.Thriller
rooting	v.wurzelnd@n+n.Anwurzeln
pretended	v.tat so als ob@a.vorgetäuscht
nigh	ad.nahe@a.nah
therewith	ad.damit@ad.hiermit
interment	n+f.Beisetzung@n+f.Bestattung
ales	n.Ales@n.Biere
partitioned	a.partitioniert@v.teilte auf
jonathon	n.Jonathon
sump	n+m.Sumpf@n+f.Ölwanne
breadcrumb	n+m.Brotkrümel@n+f.Brotkrume
sucrose	n+f.Saccharose@n+m.Rohrzucker
populous	a.dicht bevölkert@a.bevölkerungsreich
modesty	n+f.Bescheidenheit
cortisol	n+n.Cortisol@n+n.Kortisol
banshee	n+f.Banshee@n+f.Todesfee
supersedes	v.ersetzt@v.ablöst
veils	n.Schleier@v.verschleiert
frei	a.frei
pacino	n.Pacino
zest	n+f.Begeisterung@n+f.Schale
leif	n.Leif
sumptuous	a.üppig@a.prächtig
chronically	ad.chronisch
preschoolers	n.Vorschulkinder
unenforceable	a.nicht durchsetzbar
fisheye	n+n.Fischauge@a.Fischaugen-
oaxaca	n.Oaxaca
wayside	n+m.Wegesrand@a.am Wegesrand
spotless	a.makellos@a.fleckenlos
gerontology	n+f.Gerontologie
predation	n+f.Prädation@n+n.Beutemachen
kilimanjaro	n.Kilimandscharo
exacerbated	v.verschärfte@a.verschlimmert
infestation	n+m.Befall@n+f.Verseuchung
linearity	n+f.Linearität
huey	n.Huey
aerials	n.Antennen@n.Luftaufnahmen
summits	n.Gipfel@n.Gipfeltreffen
stylist	n+m.Stylist@n+f.Stylistin
porosity	n+f.Porosität
sprayer	n+m.Sprüher@n+f.Sprühpistole
tirol	n.Tirol
banc	n+f.Bank
gliders	n.Segelflugzeuge@n.Gleiter
corby	n.Corby
barbed	a.stachelig@a.mit Widerhaken
prognostic	a.prognostisch
unregulated	a.unreguliert@a.unkontrolliert
pittman	n.Pittman
legions	n.Legionen
bbl	n.Barrel
dona	n.Dona
lustre	n+m.Glanz@n+m.Lüster
sunflowers	n.Sonnenblumen
ecstatic	a.ekstatisch@a.verzückt
reportable	a.meldepflichtig
campania	n.Kampanien
dickerson	n.Dickerson
carotene	n+n.Karotin@n+n.Carotin
blasphemy	n+f.Blasphemie@n+f.Gotteslästerung
wisp	n+m.Büschel@n+f.Strähne
enrollees	n.Eingeschriebene@n.Teilnehmer
countenance	n+n.Antlitz@v.dulden
skinning	n+n.Häuten@v.häutend
compaction	n+f.Verdichtung@n+f.Kompaktierung
juicers	n.Entsafter@n.Saftpressen
methionine	n+n.Methionin
lala	n.Lala
sift	v.sieben@v.durchsieben
ooze	v.sickern@n+m.Schlamm
delimiter	n+n.Trennzeichen@n+m.Begrenzer
forsaken	a.verlassen@v.aufgegeben
recounts	v.erzählt@n.Nachzählungen
hangout	n+m.Treffpunkt@n+n.Stammlokal
striptease	n+m.Striptease
burgeoning	a.aufkeimend@a.aufblühend
adventurers	n.Abenteurer
amnesia	n+f.Amnesie@n+m.Gedächtnisverlust
bigotry	n+f.Bigotterie@n+f.Intoleranz
cipro	n.Cipro
leaky	a.undicht@a.leck
contradicts	v.widerspricht
cherie	n.Cherie
leven	n.Leven
menswear	n+f.Herrenbekleidung
pagans	n.Heiden
wrenches	n.Schraubenschlüssel@v.reißt
actuate	v.betätigen@v.antreiben
dinars	n.Dinar
capote	n.Capote
molar	n+m.Backenzahn@a.molar
fume	n+m.Rauch@v.rauchen@v.wüten
montevideo	n.Montevideo
sunglass	n+f.Sonnenbrille
afloat	a.schwimmend@ad.über Wasser
kassel	n.Kassel
bruised	a.gequetscht@a.geprellt
flattering	a.schmeichelhaft@v.schmeichelnd
followings	n.Anhängerschaften
brigades	n.Brigaden
engrossed	a.vertieft@a.versunken
accretion	n+f.Anwachsen@n+f.Akkretion
dashes	n.Striche@v.stürmt
impeach	v.anklagen@v.des Amtes entheben
atrophy	n+f.Atrophie@v.verkümmern
bullpen	n+m.Bullpen@n+m.Aufwärmbereich
mamas	n.Mamas
brag	v.prahlen@n+f.Prahlerei
dysplasia	n+f.Dysplasie
earls	n.Grafen
utopian	a.utopisch@n+m.Utopist
confers	v.verleiht@v.berät
totality	n+f.Gesamtheit@n+f.Totalität
circumvent	v.umgehen@v.umgehen
sosa	n.Sosa
hyped	a.gehypt@v.hochgejubelt
epidermal	a.epidermal@a.Oberhaut-
boulders	n.Felsblöcke@n.Felsbrocken
autopilot	n+m.Autopilot
garza	n.Garza
decrypt	v.entschlüsseln
batik	n+m.Batik
negotiator	n+m.Verhandlungsführer@n+m.Unterhändler
yolanda	n.Yolanda
utilising	v.nutzend@v.verwendend
fermanagh	n.Fermanagh
muff	n+m.Muff@v.verpfuschen
interoperable	a.interoperabel
maude	n.Maude
mam	n+f.Mama@n+f.Mutti
odour	n+m.Geruch@n+m.Duft
delano	n.Delano
bellamy	n.Bellamy
snag	n+m.Haken@n+n.Problem@v.hängenbleiben
sonja	n.Sonja
fringes	n.Fransen@n.Ränder
excavated	v.ausgegraben@a.ausgehoben
smoothed	v.glättete@a.geglättet
replaceable	a.ersetzbar@a.austauschbar
forint	n+m.Forint
nudism	n+m.Nudismus@n+f.Freikörperkultur
formulary	n+n.Formelbuch@n+f.Arzneimittelliste
affirms	v.bestätigt@v.bekräftigt
irvin	n.Irvin
hounslow	n.Hounslow
gulch	n+f.Schlucht
striping	n+f.Streifenmuster@n+f.Streifenmarkierung
excavating	v.ausgrabend@n+n.Ausgraben
recoveries	n.Erholungen@n.Rückgewinnungen
mainstreaming	n+f.Integration@n+n.Mainstreaming
irrevocable	a.unwiderruflich
moaned	v.stöhnte@v.jammerte
axles	n.Achsen
graciously	ad.gnädig@ad.liebenswürdig
seasonings	n.Gewürze@n.Würzmittel
marcelo	n.Marcelo
clamping	n+f.Klemmung@v.klemmend
whiplash	n+m.Schleudertrauma@n+m.Peitschenhieb
dildoes	n.Dildos
radiated	v.strahlte@a.abgestrahlt
takeoff	n+m.Start@n+m.Abflug
wiggle	v.wackeln@n+n.Wackeln
henna	n+f.Henna
cartesian	a.kartesisch
bribe	n+f.Bestechung@v.bestechen
propel	v.antreiben@v.vorantreiben
yank	v.reißen@n+m.Ruck@n+m.Ami
outspoken	a.freimütig@a.offen
llewellyn	n.Llewellyn
shag	n+m.Shag@v.vögeln@n+m.Flokati
asymmetrical	a.asymmetrisch
trolleys	n.Wagen@n.Einkaufswagen
interlocking	a.ineinandergreifend@n+f.Verriegelung
verily	ad.wahrlich@ad.fürwahr
doped	a.gedopt@v.dopte
headband	n+n.Stirnband
ardent	a.leidenschaftlich@a.glühend
outperform	v.übertreffen
harmonization	n+f.Harmonisierung
forcibly	ad.gewaltsam@ad.zwangsweise
differentiating	v.differenzierend@n+n.Differenzieren
hitters	n.Schläger@n.Hitter
konrad	n.Konrad
wickets	n.Wickets@n.Tore
restarting	v.neu startend@n+m.Neustart
presided	v.den Vorsitz führte@v.präsidierte
rocha	n.Rocha
shimmer	n+m.Schimmer@v.schimmern
stevenage	n.Stevenage
tremor	n+m.Zittern@n+m.Beben
restructured	v.umstrukturierte@a.umstrukturiert
aerodynamic	a.aerodynamisch
hopewell	n.Hopewell
evaluative	a.evaluativ@a.bewertend
loaned	v.lieh@a.geliehen
violins	n.Geigen@n.Violinen
extravagant	a.extravagant@a.verschwenderisch
ghent	n.Gent
astute	a.scharfsinnig@a.klug
subtracting	v.subtrahierend@n+n.Subtrahieren
kuna	n+f.Kuna
logbook	n+n.Logbuch@n+n.Fahrtenbuch
xor	n.XOR
louth	n.Louth
pict	n+m.Pikte
inflict	v.zufügen@v.auferlegen
rotates	v.rotiert@v.dreht
invalidate	v.ungültig machen@v.entkräften
ridiculously	ad.lächerlich@ad.absurd
leanne	n.Leanne
legible	a.lesbar@a.leserlich
towed	v.abschleppte@a.abgeschleppt
rescues	v.rettet@n.Rettungen
disregarded	v.missachtete@a.ignoriert
salted	a.gesalzen@v.salzte
causality	n+f.Kausalität
tiling	n+f.Fliesen@n+f.Kachelung
ethnographic	a.ethnografisch
attractiveness	n+f.Attraktivität
waffles	n.Waffeln@v.schwafelt
doubly	ad.doppelt
calamity	n+f.Katastrophe@n+n.Unheil
fandango	n+m.Fandango
catalysis	n+f.Katalyse
brewed	v.braute@a.gebraut
aristocrats	n.Aristokraten
annexes	n.Anhänge@n.Anbauten@v.annektiert
lisle	n.Lisle
fiance	n+m.Verlobter
sprawling	a.weitläufig@a.ausgedehnt
vulture	n+m.Geier
mislead	v.irreführen@v.täuschen
wrongdoing	n+n.Fehlverhalten@n+f.Missetat
ventral	a.ventral@a.Bauch-
gunter	n.Günter
retard	v.verzögern@n+m.Idiot
iranians	n.Iraner
platters	n.Platten@n.Servierplatten
canto	n+m.Gesang@n+m.Canto
commandos	n.Kommandos
germanic	a.germanisch
harassed	a.belästigt@v.belästigte
repeatable	a.wiederholbar
discriminated	v.diskriminierte@a.diskriminiert
estelle	n.Estelle
weekender	n+m.Wochenendausflügler@n+f.Reisetasche
welders	n.Schweißer
sponges	n.Schwämme@v.schmarotzt
semifinals	n.Halbfinale
cavendish	n.Cavendish
quantization	n+f.Quantisierung
surfacing	v.auftauchend@n+f.Oberflächenbearbeitung
receptacles	n.Behälter@n.Steckdosen
vegetarians	n.Vegetarier
revered	a.verehrt@v.verehrte
transponder	n+m.Transponder
harassing	a.belästigend@v.belästigend
dislocation	n+f.Verrenkung@n+f.Versetzung
shingle	n+f.Schindel@n+m.Kies
timbers	n.Hölzer@n.Balken
undergoes	v.durchläuft@v.erfährt
guatemalan	a.guatemaltekisch@n+m.Guatemalteke
iguana	n+m.Leguan
glaring	a.grell@a.offensichtlich
choker	n+m.Halsband@n+f.Halskette
tilting	v.kippend@n+n.Kippen
ecologically	ad.ökologisch
scoreboards	n.Anzeigetafeln
conquering	v.erobernd@n+n.Erobern
spaceship	n+n.Raumschiff
harass	v.belästigen@v.schikanieren
meditate	v.meditieren@v.nachdenken
hues	n.Farbtöne@n.Schattierungen
aorta	n+f.Aorta
unconfirmed	a.unbestätigt
alsace	n.Elsass
denominated	a.denominiert@v.lautend auf
degenerative	a.degenerativ
delve	v.graben@v.forschen
ostensibly	ad.angeblich@ad.scheinbar
crimp	v.kräuseln@n+f.Quetschverbindung
lumps	n.Klumpen@n.Beulen
cretaceous	a.Kreide-@n+f.Kreidezeit
mousepad	n+n.Mauspad
umbria	n.Umbrien
fished	v.fischte@v.angelte
oregano	n+m.Oregano
drizzle	n+m.Nieselregen@v.nieseln
boaters	n.Bootsfahrer@n.Kreissägen
visualisation	n+f.Visualisierung
bracing	a.belebend@n+f.Abstützung
brianna	n.Brianna
handlebars	n.Lenker@n.Lenkstangen
blackmail	n+f.Erpressung@v.erpressen
interconnects	v.verbindet@n.Verbindungen
playtime	n+f.Spielzeit
criticality	n+f.Kritikalität
meh	int.meh@int.naja
moseley	n.Moseley
remorse	n+f.Reue@n+f.Gewissensbisse
navarre	n.Navarra
clout	n+m.Einfluss@n+f.Schlagkraft
spacers	n.Abstandshalter
deferral	n+f.Aufschub@n+f.Verschiebung
hilliard	n.Hilliard
wag	v.wedeln@n+m.Witzbold
fella	n+m.Kerl@n+m.Bursche
mountaineer	n+m.Bergsteiger
bute	n.Bute
pondering	v.überlegend@n+n.Grübeln
transcriptions	n.Transkriptionen@n.Abschriften
metered	a.gemessen@a.mit Zähler
quintessential	a.typisch@a.quintessenziell
stockpile	n+m.Vorrat@n+n.Lager@v.horten
psychics	n.Hellseher@n.Medien
hetero	a.hetero@n+m.Hetero
meteorite	n+m.Meteorit
purposely	ad.absichtlich@ad.vorsätzlich
worshipped	v.verehrte@a.angebetet
lucifer	n.Luzifer
extruded	a.extrudiert@v.extrudierte
unholy	a.unheilig@a.gottlos
lakh	n+n.Lakh
phage	n+m.Phage@n+m.Bakteriophage
spectacles	n.Brillen@n.Schauspiele
muttered	v.murmelte
lags	v.verzögert@n.Verzögerungen
aquila	n.Aquila
hajj	n+m.Hadsch
hoff	n.Hoff
mme	n+f.Madame
longstanding	a.langjährig@a.alteingesessen
knitwear	n+f.Strickwaren
spat	v.spuckte@n+m.Streit
apocalyptic	a.apokalyptisch
fatties	n.Dicken@n.Fettsäcke
darmstadt	n.Darmstadt
henceforth	ad.fortan@ad.von nun an
fillings	n.Füllungen@n.Zahnfüllungen
marti	n.Marti
argo	n.Argo
inflows	n.Zuflüsse
estuarine	a.Ästuar-@a.Mündungs-
strapping	a.stramm@n+f.Befestigung
socialization	n+f.Sozialisierung@n+f.Sozialisation
expedient	a.zweckmäßig@n+n.Hilfsmittel
unconditionally	ad.bedingungslos@ad.vorbehaltlos
caving	n+n.Höhlenforschung@v.nachgebend
ices	n.Eis@v.vereist
secreted	v.abgesondert@v.versteckte
alkyl	n+n.Alkyl
artichoke	n+f.Artischocke
leasehold	n+n.Pachtbesitz@n+n.Erbbaurecht
chaucer	n.Chaucer
livery	n+f.Livree@n+f.Dienstkleidung
recapture	v.zurückerobern@n+f.Rückeroberung
chevalier	n+m.Chevalier@n+m.Ritter
hairdressing	n+n.Frisieren@n+f.Frisur
incompatibility	n+f.Inkompatibilität@n+f.Unverträglichkeit
anchoring	n+f.Verankerung@v.verankernd
navigable	a.schiffbar@a.befahrbar
biomechanics	n+f.Biomechanik
microcomputer	n+m.Mikrocomputer
personas	n.Personas@n.Persönlichkeiten
milieu	n+n.Milieu@n+f.Umgebung
discipleship	n+f.Jüngerschaft@n+f.Nachfolge
stonehenge	n.Stonehenge
magnifier	n+f.Lupe@n+m.Vergrößerer
injure	v.verletzen@v.beschädigen
knuckles	n.Fingerknöchel
esters	n.Ester
intermission	n+f.Pause@n+f.Unterbrechung
ablation	n+f.Ablation@n+f.Abtragung
nutcracker	n+m.Nussknacker
amazement	n+n.Erstaunen@n+f.Verwunderung
medusa	n.Medusa
pagoda	n+f.Pagode
manifests	v.manifestiert@n.Manifeste
dosages	n.Dosierungen
primed	a.grundiert@v.vorbereitete
keg	n+n.Fass@n+m.Bierfass
recited	v.rezitierte@v.trug vor
multiplexing	n+n.Multiplexen@n+f.Multiplexierung
indentation	n+f.Einrückung@n+f.Einbuchtung
hazmat	n+m.Gefahrstoff@a.Gefahrstoff-
reformers	n.Reformer@n.Reformatoren
dalhousie	n.Dalhousie
ensued	v.folgte@v.sich ergab
ahem	int.ähem@int.hm
justly	ad.zu Recht@ad.gerechterweise
throats	n.Kehlen@n.Rachen
retardant	n+n.Verzögerer@a.verzögernd
shankar	n.Shankar
aron	n.Aron
barrage	n+f.Sperrfeuer@n+f.Flut
overheads	n.Gemeinkosten@n.Folien
pis	n.Pis
buoyancy	n+m.Auftrieb@n+f.Schwimmfähigkeit
curled	v.kräuselte@a.gelockt
raoul	n.Raoul
peeping	v.spähend@n+n.Spähen
dermal	a.dermal@a.Haut-
sizeable	a.beträchtlich@a.ansehnlich
aftershave	n+n.Aftershave@n+n.Rasierwasser
paces	n.Schritte@v.schreitet
heaviest	a.schwerste
earners	n.Verdiener
tenderloin	n+n.Filet@n+n.Lendenfilet
hamburgers	n.Hamburger
walnuts	n.Walnüsse
margie	n.Margie
wandsworth	n.Wandsworth
broadened	v.erweiterte@a.verbreitert
lashes	n.Wimpern@n.Peitschenhiebe@v.peitscht
esplanade	n+f.Esplanade@n+f.Promenade
francophone	a.frankophon@n+m.Frankophoner
prairies	n.Prärien
conical	a.konisch@a.kegelförmig
mocking	a.spöttisch@v.verspottend
tricked	v.austrickste@a.hereingelegt
serengeti	n.Serengeti
etymology	n+f.Etymologie@n+f.Wortherkunft
raccoon	n+m.Waschbär
shrinkage	n+f.Schrumpfung@n+m.Schwund
cheaply	ad.billig@ad.preiswert
allege	v.behaupten@v.vorgeben
draped	a.drapiert@v.drapierte
uris	n.Uris
hamsters	n.Hamster
thrashers	n.Spottdrosseln@n.Thrasher
subtly	ad.subtil@ad.unterschwellig
manslaughter	n+m.Totschlag
calibrate	v.kalibrieren@v.eichen
rambo	n.Rambo
consort	n+m.Gemahl@n+f.Gemahlin@v.verkehren
shad	n+f.Maifisch@n+m.Alse
serrano	n.Serrano
niacin	n+n.Niacin
wesson	n.Wesson
oxycontin	n.OxyContin
bibliographical	a.bibliografisch
fleeting	a.flüchtig@a.vergänglich
glyph	n+f.Glyphe
marinated	a.mariniert@v.marinierte
genotypes	n.Genotypen
alford	n.Alford
madurai	n.Madurai
evacuees	n.Evakuierte
urbanization	n+f.Urbanisierung@n+f.Verstädterung
skyscraper	n+m.Wolkenkratzer
plumb	v.lotrecht@ad.genau@v.ausloten
needlework	n+f.Handarbeit@n+f.Näharbeit
tooled	a.bearbeitet@v.prägte
charlottetown	n.Charlottetown
submersible	n+n.Tauchboot@a.tauchfähig
condensate	n+n.Kondensat
matchup	n+m.Vergleich@n+n.Aufeinandertreffen
caballero	n+m.Caballero
undefeated	a.ungeschlagen@a.unbesiegt
annoyances	n.Ärgernisse@n.Belästigungen
kino	n+n.Kino
bacchus	n.Bacchus
chuckle	v.kichern@n+n.Kichern
photographing	v.fotografierend@n+n.Fotografieren
pocono	n.Pocono
unfolded	v.entfaltete@a.aufgeklappt
trackers	n.Tracker@n.Verfolger
unify	v.vereinigen@v.vereinheitlichen
dissident	n+m.Dissident@a.abweichend
sperry	n.Sperry
rit	n.Rit
briar	n+f.Dornbusch@n+f.Bruyère
xterm	n+n.XTerm
wavy	a.wellig@a.gewellt
swapped	v.tauschte@a.ausgetauscht
stent	n+m.Stent
moulds	n.Formen@n.Schimmel
angiography	n+f.Angiografie
brockton	n.Brockton
hindered	v.hinderte@a.behindert
livonia	n.Livonien
specialisation	n+f.Spezialisierung
bloated	a.aufgebläht@a.aufgedunsen
pranks	n.Streiche
plasticity	n+f.Plastizität@n+f.Formbarkeit
mantel	n+m.Kaminsims
crux	n+m.Kern@n+f.Crux
languedoc	n.Languedoc
fatima	n.Fatima
armband	n+f.Armbinde@n+n.Armband
mosley	n.Mosley
disordered	a.gestört@a.ungeordnet
belated	a.verspätet@a.nachträglich
stemmed	v.stammte@a.mit Stiel
lek	n+m.Lek
cartoonist	n+m.Karikaturist@n+m.Comiczeichner
englishman	n+m.Engländer
flotation	n+f.Flotation@n+m.Börsengang
geol	n+f.Geologie
winder	n+m.Wickler@n+f.Wendeltreppe
deterrence	n+f.Abschreckung
junta	n+f.Junta
cardin	n.Cardin
shrunk	v.schrumpfte@a.geschrumpft
crammed	a.vollgestopft@v.stopfte voll
aardvark	n+n.Erdferkel
cosmological	a.kosmologisch
isotopic	a.isotopisch
hatchet	n+n.Beil@n+f.Streitaxt
unsuspecting	a.ahnungslos@a.nichtsahnend
understated	a.untertrieben@a.zurückhaltend
obit	n+m.Nachruf
randomised	a.randomisiert
amphetamine	n+n.Amphetamin
shia	n+f.Schia@a.schiitisch
grout	n+m.Fugenmörtel@v.verfugen
dismissing	v.entlassend@v.abweisend
reba	n.Reba
bharat	n.Bharat
windfall	n+m.Glücksfall@n+n.Fallobst
filaments	n.Filamente@n.Fäden
jocelyn	n.Jocelyn
kilometre	n+m.Kilometer
pastels	n.Pastellfarben@n.Pastelle
companionship	n+f.Gesellschaft@n+f.Kameradschaft
stallions	n.Hengste
creeper	n+f.Kletterpflanze@n+m.Kriecher
paramedics	n.Sanitäter@n.Rettungssanitäter
epidemics	n.Epidemien@n.Seuchen
illegitimate	a.illegitim@a.unrechtmäßig
curie	n.Curie
slag	n+f.Schlacke@n+f.Schlampe
skit	n+m.Sketch@n+f.Parodie
undisturbed	a.ungestört
decimals	n.Dezimalzahlen@n.Dezimalstellen
transcendental	a.transzendental
catania	n.Catania
georgina	n.Georgina
chantilly	n.Chantilly
farmed	v.bewirtschaftete@a.landwirtschaftlich
fuentes	n.Fuentes
elwood	n.Elwood
hocking	n.Hocking
prerelease	n+f.Vorabversion@a.Vorab-
femoral	a.femoral@a.Oberschenkel-
visceral	a.viszeral@a.tief empfunden
fructose	n+f.Fructose@n+m.Fruchtzucker
complicate	v.komplizieren@v.erschweren
zooming	v.zoomend@n+n.Zoomen
alston	n.Alston
indistinguishable	a.ununterscheidbar@a.nicht zu unterscheiden
extinguisher	n+m.Feuerlöscher
subpoenas	n.Vorladungen
donny	n.Donny
fledgling	n+m.Jungvogel@a.jung@a.unerfahren
traversal	n+f.Durchquerung@n+m.Durchlauf
erick	n.Erick
kcal	n.kcal@n.Kilokalorie
midfield	n+n.Mittelfeld
hypersensitivity	n+f.Überempfindlichkeit@n+f.Hypersensitivität
redshift	n+f.Rotverschiebung
glaser	n.Glaser
cusco	n.Cusco
compensating	v.kompensierend@a.ausgleichend
prosthesis	n+f.Prothese
overrated	a.überbewertet@v.überbewertete
reasonableness	n+f.Vernünftigkeit@n+f.Angemessenheit
nuances	n.Nuancen
knuckle	n+m.Fingerknöchel
kelp	n+m.Seetang@n+m.Kelp
taker	n+m.Nehmer@n+m.Abnehmer
placeholder	n+m.Platzhalter
moulton	n.Moulton
bastion	n+f.Bastion@n+f.Bollwerk
massages	n.Massagen@v.massiert
scraping	n+n.Kratzen@v.kratzend
tupelo	n.Tupelo
gypsies	n.Zigeuner@n.Roma
concurring	a.übereinstimmend@v.zustimmend
batt	n+f.Watte@n+f.Vlies
videotapes	n.Videokassetten
assemblage	n+f.Ansammlung@n+f.Assemblage
backseat	n+m.Rücksitz
manipulations	n.Manipulationen
watery	a.wässrig@a.wässerig
aylesbury	n.Aylesbury
kwacha	n+m.Kwacha
juanita	n.Juanita
coiled	a.gewickelt@a.aufgerollt
yucatan	n.Yucatán
sipping	v.nippend@n+n.Nippen
beatrix	n.Beatrix
sandpiper	n+m.Strandläufer
vamp	n+m.Vamp@v.improvisieren
cheerfully	ad.fröhlich@ad.vergnügt
overarching	a.übergreifend@a.übergeordnet
selectors	n.Selektoren@n.Wähler
internationals	n.Internationale@n.Länderspiele
estuaries	n.Mündungen@n.Ästuare
sledge	n+m.Schlitten@n+m.Vorschlaghammer
stepper	n+m.Stepper@n+m.Schrittmotor
gilded	a.vergoldet@v.vergoldete
reykjavik	n.Reykjavik
murdering	v.ermordend@n+n.Ermorden
dijon	n.Dijon
unbroken	a.ungebrochen@a.ununterbrochen
superheroes	n.Superhelden
sages	n.Weise@n.Salbei
tropic	n+m.Wendekreis@a.tropisch
capella	n.Kapella
marg	n+f.Margarine
leftovers	n.Reste@n.Überbleibsel
mariano	n.Mariano
condemning	v.verurteilend@a.verdammend
guestrooms	n.Gästezimmer
urethane	n+n.Urethan
paphos	n.Paphos
entourage	n+n.Gefolge@n+f.Entourage
sprinklers	n.Sprinkler@n.Rasensprenger
iota	n+n.Jota@n+f.Spur
yvette	n.Yvette
realist	n+m.Realist
geochemistry	n+f.Geochemie
reflectivity	n+f.Reflexionsvermögen@n+f.Reflektivität
moog	n.Moog
suppressing	v.unterdrückend@n+n.Unterdrücken
scorn	n+f.Verachtung@v.verachten
crusades	n.Kreuzzüge
whirl	v.wirbeln@n+m.Wirbel
apprenticeships	n.Ausbildungen@n.Lehrstellen
pervert	n+m.Perverser@v.pervertieren
asymptomatic	a.asymptomatisch
retails	v.verkauft im Einzelhandel
defences	n.Verteidigungen@n.Abwehrkräfte
humiliating	a.demütigend@v.demütigend
circled	v.kreiste@a.eingekreist
withers	n+m.Widerrist@v.welkt
sprout	v.sprießen@n+m.Spross
elicited	v.entlockte@a.hervorgerufen
swirling	a.wirbelnd@v.wirbelnd
gandalf	n.Gandalf
minot	n.Minot
campos	n.Campos
evidentiary	a.beweiskräftig@a.Beweis-
clinging	a.klebend@v.klammernd
bunches	n.Bündel@n.Sträuße
bagged	v.eintütete@a.eingesackt
synthesize	v.synthetisieren@v.zusammenfügen
localisation	n+f.Lokalisierung
negotiators	n.Verhandlungsführer@n.Unterhändler
deviate	v.abweichen
laparoscopic	a.laparoskopisch
overridden	a.überschrieben@v.überstimmt
blackened	a.geschwärzt@v.schwärzte
hinds	n.Hirschkühe
whereupon	conj.woraufhin@ad.wonach
racially	ad.rassisch
stinky	a.stinkend@a.muffig
expertly	ad.fachmännisch@ad.gekonnt
muriel	n.Muriel
hostilities	n.Feindseligkeiten@n.Kampfhandlungen
atelier	n+n.Atelier@n+f.Werkstatt
colloidal	a.kolloidal
guarantor	n+m.Bürge@n+m.Garant
imperialist	n+m.Imperialist@a.imperialistisch
veneers	n.Furniere@n.Fassaden
reaffirmed	v.bekräftigte@a.erneut bestätigt
zambezi	n.Sambesi
tibia	n+f.Schienbein@n+f.Tibia
raquel	n.Raquel
penned	v.schrieb@a.geschrieben
kiddie	n+n.Kind@a.Kinder-
conte	n+m.Conte
sundries	n.Verschiedenes@n.Kleinigkeiten
horatio	n.Horatio
cheered	v.jubelte@v.anfeuerte
linebacker	n+m.Linebacker
danzig	n.Danzig
beanies	n.Mützen@n.Beanies
irreducible	a.irreduzibel@a.nicht reduzierbar
bled	v.blutete
verifier	n+m.Verifizierer@n+m.Prüfer
throbbing	a.pochend@v.pochend
sleepers	n.Schläfer@n.Schwellen
eurasian	a.eurasisch@n+m.Eurasier
galbraith	n.Galbraith
sallie	n.Sallie
solace	n+m.Trost@n+f.Zuflucht
pesky	a.lästig@a.nervtötend
underwire	n+m.Bügel
lucien	n.Lucien
havre	n.Le Havre
moles	n.Maulwürfe@n.Muttermale
salvia	n+f.Salbei@n+f.Salvia
unloaded	v.entlud@a.entladen
projectile	n+n.Projektil@n+n.Geschoss
alana	n.Alana
transplanted	v.verpflanzte@a.transplantiert
bandages	n.Verbände@n.Bandagen
duma	n+f.Duma
handcuffs	n.Handschellen@v.legt Handschellen an
scripted	a.geskriptet@a.vorbereitet
beacons	n.Leuchtfeuer@n.Signalgeber
mutagenesis	n+f.Mutagenese
stucco	n+m.Stuck@n+m.Putz
posada	n.Posada
vocalists	n.Sänger@n.Vokalisten
intrinsically	ad.intrinsisch@ad.an sich
geiger	n.Geiger
obits	n.Nachrufe
jekyll	n.Jekyll
impervious	a.undurchlässig@a.unempfindlich
andaman	n.Andamanen
spoofing	n+n.Spoofing@n+f.Fälschung
rockhampton	n.Rockhampton
reauthorization	n+f.erneute Genehmigung
poolside	n+m.Poolrand@a.am Pool
shams	n.Schwindel@n.Heucheleien
shawls	n.Schals@n.Tücher
